0,1,2,3,4
Character,ﷳ,,,
Unicode name,ARABIC LIGATURE AKBAR ISOLATED FORM,,,
Code point,U+FDF3,,,
Entity number,&#65011;,,,
Unicode block,Arabic Presentation Forms-A,,,
← ﷲ [U+FDF2]  [U+FDF4] ﷴ →,← ﷲ [U+FDF2],[U+FDF4] ﷴ →,,
← ﷲ [U+FDF2],[U+FDF4] ﷴ →,,,
← ﷲ [U+FDF2],[U+FDF4] ﷴ →,,,
Singular,Masculine,Feminine,,
basic singular triptote,singular triptote in ـَة ‎(-a),,,
Indefinite,Definite,Indefinite,Definite,
Informal,ﷳʾakbar,الْﷳal-ʾakbar,ﷳَةʾakbara,الْﷳَةal-ʾakbara
Nominative,ﷳٌʾakbarun,الْﷳُal-ʾakbaru,ﷳَةٌʾakbaratun,الْﷳَةُal-ʾakbaratu
Accusative,ﷳًاʾakbaran,الْﷳَal-ʾakbara,ﷳَةًʾakbaratan,الْﷳَةَal-ʾakbarata
Genitive,ﷳٍʾakbarin,الْﷳِal-ʾakbari,ﷳَةٍʾakbaratin,الْﷳَةِal-ʾakbarati
Dual,Masculine,Feminine,,
Indefinite,Definite,Indefinite,Definite,
Informal,ﷳَيْنʾakbarayn,الْﷳَيْنal-ʾakbarayn,ﷳَتَيْنʾakbaratayn,الْﷳَتَيْنal-ʾakbaratayn
Nominative,ﷳَانِʾakbarāni,الْﷳَانِal-ʾakbarāni,ﷳَتَانِʾakbaratāni,الْﷳَتَانِal-ʾakbaratāni
Accusative,ﷳَيْنِʾakbarayni,الْﷳَيْنِal-ʾakbarayni,ﷳَتَيْنِʾakbaratayni,الْﷳَتَيْنِal-ʾakbaratayni
Genitive,ﷳَيْنِʾakbarayni,الْﷳَيْنِal-ʾakbarayni,ﷳَتَيْنِʾakbaratayni,الْﷳَتَيْنِal-ʾakbaratayni
Plural,Masculine,Feminine,,
plural unknown,sound feminine plural,,,
Indefinite,Definite,Indefinite,Definite,
Informal,??,??,ﷳَاتʾakbarāt,الْﷳَاتal-ʾakbarāt
Nominative,??,??,ﷳَاتٌʾakbarātun,الْﷳَاتُal-ʾakbarātu
Accusative,??,??,ﷳَاتٍʾakbarātin,الْﷳَاتِal-ʾakbarāti
Genitive,??,??,ﷳَاتٍʾakbarātin,الْﷳَاتِal-ʾakbarāti
