0,1,2,3,4,5,6,7,8,9
Audio,,(file),,,,,,,
Singular,Masculine,Feminine,,,,,,,
basic singular triptote,singular triptote in ـَة ‎(-a),,,,,,,,
Indefinite,Definite,Indefinite,Definite,,,,,,
Informal,صَعْبṣaʿb,الصَّعْبaṣ-ṣaʿb,صَعْبَةṣaʿba,الصَّعْبَةaṣ-ṣaʿba,,,,,
Nominative,صَعْبٌṣaʿbun,الصَّعْبُaṣ-ṣaʿbu,صَعْبَةٌṣaʿbatun,الصَّعْبَةُaṣ-ṣaʿbatu,,,,,
Accusative,صَعْبًاṣaʿban,الصَّعْبَaṣ-ṣaʿba,صَعْبَةًṣaʿbatan,الصَّعْبَةَaṣ-ṣaʿbata,,,,,
Genitive,صَعْبٍṣaʿbin,الصَّعْبِaṣ-ṣaʿbi,صَعْبَةٍṣaʿbatin,الصَّعْبَةِaṣ-ṣaʿbati,,,,,
Dual,Masculine,Feminine,,,,,,,
Indefinite,Definite,Indefinite,Definite,,,,,,
Informal,صَعْبَيْنṣaʿbayn,الصَّعْبَيْنaṣ-ṣaʿbayn,صَعْبَتَيْنṣaʿbatayn,الصَّعْبَتَيْنaṣ-ṣaʿbatayn,,,,,
Nominative,صَعْبَانِṣaʿbāni,الصَّعْبَانِaṣ-ṣaʿbāni,صَعْبَتَانِṣaʿbatāni,الصَّعْبَتَانِaṣ-ṣaʿbatāni,,,,,
Accusative,صَعْبَيْنِṣaʿbayni,الصَّعْبَيْنِaṣ-ṣaʿbayni,صَعْبَتَيْنِṣaʿbatayni,الصَّعْبَتَيْنِaṣ-ṣaʿbatayni,,,,,
Genitive,صَعْبَيْنِṣaʿbayni,الصَّعْبَيْنِaṣ-ṣaʿbayni,صَعْبَتَيْنِṣaʿbatayni,الصَّعْبَتَيْنِaṣ-ṣaʿbatayni,,,,,
Plural,Masculine,Feminine,,,,,,,
basic broken plural triptote,sound feminine plural,,,,,,,,
Indefinite,Definite,Indefinite,Definite,,,,,,
Informal,صِعَابṣiʿāb,الصِّعَابaṣ-ṣiʿāb,صَعْبَاتṣaʿbāt,الصَّعْبَاتaṣ-ṣaʿbāt,,,,,
Nominative,صِعَابٌṣiʿābun,الصِّعَابُaṣ-ṣiʿābu,صَعْبَاتٌṣaʿbātun,الصَّعْبَاتُaṣ-ṣaʿbātu,,,,,
Accusative,صِعَابًاṣiʿāban,الصِّعَابَaṣ-ṣiʿāba,صَعْبَاتٍṣaʿbātin,الصَّعْبَاتِaṣ-ṣaʿbāti,,,,,
Genitive,صِعَابٍṣiʿābin,الصِّعَابِaṣ-ṣiʿābi,صَعْبَاتٍṣaʿbātin,الصَّعْبَاتِaṣ-ṣaʿbāti,,,,,
verbal nounالْمَصْدَر,تَصْعِيبtaṣʿīb,,,,,,,,
active participleاِسْم الْفَاعِل,مُصَعِّبmuṣaʿʿib,,,,,,,,
passive participleاِسْم الْامَفْعُول,مُصَعَّبmuṣaʿʿab,,,,,,,,
active voiceالْفِعْل الْمَعْلُوم,,,,,,,,,
,singularالْمُفْرَد,,dualالْمُثَنَّى,,pluralالْجَمْع,,,,
,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,2nd personالْمُخَاطَب,3rd personالْغَائِب,1st personالْمُتَكَلِّم,2nd personالْمُخَاطَب,3rd personالْغَائِب,
past (perfect) indicativeالْمَاضِي,m,صَعَّبْتُṣaʿʿabtu,صَعَّبْتَṣaʿʿabta,صَعَّبَṣaʿʿaba,صَعَّبْتُمَاṣaʿʿabtumā,صَعَّبَاṣaʿʿabā,صَعَّبْنَاṣaʿʿabnā,صَعَّبْتُمْṣaʿʿabtum,صَعَّبُواṣaʿʿabū
f,صَعَّبْتِṣaʿʿabti,صَعَّبَتْṣaʿʿabat,صَعَّبَتَاṣaʿʿabatā,صَعَّبْتُنَّṣaʿʿabtunna,صَعَّبْنَṣaʿʿabna,,,,
non-past (imperfect) indicativeالْمُضَارِع,m,أُصَعِّبُʾuṣaʿʿibu,تُصَعِّبُtuṣaʿʿibu,يُصَعِّبُyuṣaʿʿibu,تُصَعِّبَانِtuṣaʿʿibāni,يُصَعِّبَانِyuṣaʿʿibāni,نُصَعِّبُnuṣaʿʿibu,تُصَعِّبُونَtuṣaʿʿibūna,يُصَعِّبُونَyuṣaʿʿibūna
f,تُصَعِّبِينَtuṣaʿʿibīna,تُصَعِّبُtuṣaʿʿibu,تُصَعِّبَانِtuṣaʿʿibāni,تُصَعِّبْنَtuṣaʿʿibna,يُصَعِّبْنَyuṣaʿʿibna,,,,
