0,1,2,3,4,5
Audio,,(file),,,
Base form,أَمَامَ ‎(ʾamāma),,,,
Personal-pronoun-including forms,Singular,Dual,Plural,,
Masculine,Feminine,Common,Masculine,Feminine,
First person,أَمَامِي ‎(ʾamāmī),,أَمَامَنَا ‎(ʾamāmanā),,
Second person,أَمَامَكَ ‎(ʾamāmaka),أَمَامَكِ ‎(ʾamāmaki),أَمَامَكُمَا ‎(ʾamāmakumā),أَمَامَكُمْ ‎(ʾamāmakum),أَمَامَكُنَّ ‎(ʾamāmakunna)
Third person,أَمَامَهُ ‎(ʾamāmahu),أَمَامَهَا ‎(ʾamāmahā),أَمَامَهُمَا ‎(ʾamāmahumā),أَمَامَهُمْ ‎(ʾamāmahum),أَمَامَهُنَّ ‎(ʾamāmahunna)
Singular,basic singular triptote,,,,
Indefinite,Definite,Construct,,,
Informal,أَمَامʾamām,الْأَمَامal-ʾamām,أَمَامʾamām,,
Nominative,أَمَامٌʾamāmun,الْأَمَامُal-ʾamāmu,أَمَامُʾamāmu,,
Accusative,أَمَامًاʾamāman,الْأَمَامَal-ʾamāma,أَمَامَʾamāma,,
Genitive,أَمَامٍʾamāmin,الْأَمَامِal-ʾamāmi,أَمَامِʾamāmi,,
