0,1,2,3,4
Audio,,(file),,
Audio (West Armenian),,(file),,
,singular,plural,,
nominative,ծակ ‎(cak),ծակեր ‎(caker),,
dative,ծակի ‎(caki),ծակերի ‎(cakeri),,
ablative,ծակից ‎(cakicʿ),ծակերից ‎(cakericʿ),,
instrumental,ծակով ‎(cakov),ծակերով ‎(cakerov),,
locative,ծակում ‎(cakum),ծակերում ‎(cakerum),,
,definite forms,,,
nominative,ծակը/ծակն ‎(cakə/cakn),ծակերը/ծակերն ‎(cakerə/cakern),,
dative,ծակին ‎(cakin),ծակերին ‎(cakerin),,
,1st person possessive forms (my),,,
nominative,ծակս ‎(caks),ծակերս ‎(cakers),,
dative,ծակիս ‎(cakis),ծակերիս ‎(cakeris),,
ablative,ծակիցս ‎(cakicʿs),ծակերիցս ‎(cakericʿs),,
instrumental,ծակովս ‎(cakovs),ծակերովս ‎(cakerovs),,
locative,ծակումս ‎(cakums),ծակերումս ‎(cakerums),,
,2nd person possessive forms (your),,,
nominative,ծակդ ‎(cakd),ծակերդ ‎(cakerd),,
dative,ծակիդ ‎(cakid),ծակերիդ ‎(cakerid),,
ablative,ծակիցդ ‎(cakicʿd),ծակերիցդ ‎(cakericʿd),,
instrumental,ծակովդ ‎(cakovd),ծակերովդ ‎(cakerovd),,
locative,ծակումդ ‎(cakumd),ծակերումդ ‎(cakerumd),,
ծակել ‎(cakel),,,,
