0,1,2,3,4,5,6
,singular,plural,,,,
nominative,սուրճ ‎(surč),սուրճեր ‎(surčer),,,,
dative,սուրճի ‎(surči),սուրճերի ‎(surčeri),,,,
ablative,սուրճից ‎(surčicʿ),սուրճերից ‎(surčericʿ),,,,
instrumental,սուրճով ‎(surčov),սուրճերով ‎(surčerov),,,,
locative,սուրճում ‎(surčum),սուրճերում ‎(surčerum),,,,
,definite forms,,,,,
nominative,սուրճը/սուրճն ‎(surčə/surčn),սուրճերը/սուրճերն ‎(surčerə/surčern),,,,
dative,սուրճին ‎(surčin),սուրճերին ‎(surčerin),,,,
,1st person possessive forms (my),,,,,
nominative,սուրճս ‎(surčs),սուրճերս ‎(surčers),,,,
dative,սուրճիս ‎(surčis),սուրճերիս ‎(surčeris),,,,
ablative,սուրճիցս ‎(surčicʿs),սուրճերիցս ‎(surčericʿs),,,,
instrumental,սուրճովս ‎(surčovs),սուրճերովս ‎(surčerovs),,,,
locative,սուրճումս ‎(surčums),սուրճերումս ‎(surčerums),,,,
,2nd person possessive forms (your),,,,,
nominative,սուրճդ ‎(surčd),սուրճերդ ‎(surčerd),,,,
dative,սուրճիդ ‎(surčid),սուրճերիդ ‎(surčerid),,,,
ablative,սուրճիցդ ‎(surčicʿd),սուրճերիցդ ‎(surčericʿd),,,,
instrumental,սուրճովդ ‎(surčovd),սուրճերովդ ‎(surčerovd),,,,
locative,սուրճումդ ‎(surčumd),սուրճերումդ ‎(surčerumd),,,,
,singular,plural,,,,
nominative,սուրճ ‎(surč),սրճեր ‎(srčer),,,,
dative,սրճի ‎(srči),սրճերի ‎(srčeri),,,,
ablative,սրճից ‎(srčicʿ),սրճերից ‎(srčericʿ),,,,
instrumental,սրճով ‎(srčov),սրճերով ‎(srčerov),,,,
locative,սրճում ‎(srčum),սրճերում ‎(srčerum),,,,
,definite forms,,,,,
nominative,սուրճը/սուրճն ‎(surčə/surčn),սրճերը/սրճերն ‎(srčerə/srčern),,,,
dative,սրճին ‎(srčin),սրճերին ‎(srčerin),,,,
,1st person possessive forms (my),,,,,
nominative,սուրճս ‎(surčs),սրճերս ‎(srčers),,,,
dative,սրճիս ‎(srčis),սրճերիս ‎(srčeris),,,,
ablative,սրճիցս ‎(srčicʿs),սրճերիցս ‎(srčericʿs),,,,
instrumental,սրճովս ‎(srčovs),սրճերովս ‎(srčerovs),,,,
locative,սրճումս ‎(srčums),սրճերումս ‎(srčerums),,,,
,2nd person possessive forms (your),,,,,
nominative,սուրճդ ‎(surčd),սրճերդ ‎(srčerd),,,,
dative,սրճիդ ‎(srčid),սրճերիդ ‎(srčerid),,,,
ablative,սրճիցդ ‎(srčicʿd),սրճերիցդ ‎(srčericʿd),,,,
instrumental,սրճովդ ‎(srčovd),սրճերովդ ‎(srčerovd),,,,
locative,սրճումդ ‎(srčumd),սրճերումդ ‎(srčerumd),,,,
սրճագույն ‎(srčaguyn)  սրճահատիկ ‎(srčahatik)  սրճաղաց ‎(srčałacʿ),,սրճաման ‎(srčaman)  սրճանոց ‎(srčanocʿ)  սրճավաճառ ‎(srčavačaṙ),,սրճատուն ‎(srčatun)  սրճարան ‎(srčaran)  սրճարանատեր ‎(srčaranater),,սրճել ‎(srčel)  սրճենի ‎(srčeni)  սրճեփ ‎(srčepʿ)
