0,1,2,3
,singular,,plural
nominative,նեարդ ‎(neard),նեարդք ‎(neardkʿ),
genitive,ներդի ‎(nerdi),ներդից ‎(nerdicʿ),
dative,ներդի ‎(nerdi),ներդից ‎(nerdicʿ),
accusative,նեարդ ‎(neard),նեարդս ‎(neards),
ablative,ներդէ ‎(nerdē),ներդից ‎(nerdicʿ),
instrumental,ներդիւ ‎(nerdiw),ներդիւք ‎(nerdiwkʿ),
locative,ներդի ‎(nerdi),նեարդս ‎(neards),
,singular,,plural
nominative,նեարդ ‎(neard),նեարդք ‎(neardkʿ),
genitive,նեարդի ‎(neardi),նեարդից ‎(neardicʿ),
dative,նեարդի ‎(neardi),նեարդից ‎(neardicʿ),
accusative,նեարդ ‎(neard),նեարդս ‎(neards),
ablative,նեարդէ ‎(neardē),նեարդից ‎(neardicʿ),
instrumental,նեարդիւ ‎(neardiw),նեարդիւք ‎(neardiwkʿ),
locative,նեարդի ‎(neardi),նեարդս ‎(neards),
,singular,,plural
nominative,նեարդ ‎(neard),նեարդք ‎(neardkʿ),
genitive,նարդի ‎(nardi),նարդից ‎(nardicʿ),
dative,նարդի ‎(nardi),նարդից ‎(nardicʿ),
accusative,նեարդ ‎(neard),նեարդս ‎(neards),
ablative,նարդէ ‎(nardē),նարդից ‎(nardicʿ),
instrumental,նարդիւ ‎(nardiw),նարդիւք ‎(nardiwkʿ),
locative,նարդի ‎(nardi),նեարդս ‎(neards),
note the unusual oblique stem,,,
նեարդապատ ‎(neardapat)  նեարդատեսակ ‎(neardatesak)  ներդապատ ‎(nerdapat)  ներդեայ ‎(nerdeay),,,
