0,1,2
PIE root,,
*sweyd-,,
Audio,,(file)
,singular,plural
nominative,քրտինք ‎(kʿrtinkʿ),քրտինքներ ‎(kʿrtinkʿner)
dative,քրտինքի ‎(kʿrtinkʿi),քրտինքների ‎(kʿrtinkʿneri)
ablative,քրտինքից ‎(kʿrtinkʿicʿ),քրտինքներից ‎(kʿrtinkʿnericʿ)
instrumental,քրտինքով ‎(kʿrtinkʿov),քրտինքներով ‎(kʿrtinkʿnerov)
locative,քրտինքում ‎(kʿrtinkʿum),քրտինքներում ‎(kʿrtinkʿnerum)
,definite forms,
nominative,քրտինքը/քրտինքն ‎(kʿrtinkʿə/kʿrtinkʿn),քրտինքները/քրտինքներն ‎(kʿrtinkʿnerə/kʿrtinkʿnern)
dative,քրտինքին ‎(kʿrtinkʿin),քրտինքներին ‎(kʿrtinkʿnerin)
,1st person possessive forms (my),
nominative,քրտինքս ‎(kʿrtinkʿs),քրտինքներս ‎(kʿrtinkʿners)
dative,քրտինքիս ‎(kʿrtinkʿis),քրտինքներիս ‎(kʿrtinkʿneris)
ablative,քրտինքիցս ‎(kʿrtinkʿicʿs),քրտինքներիցս ‎(kʿrtinkʿnericʿs)
instrumental,քրտինքովս ‎(kʿrtinkʿovs),քրտինքներովս ‎(kʿrtinkʿnerovs)
locative,քրտինքումս ‎(kʿrtinkʿums),քրտինքներումս ‎(kʿrtinkʿnerums)
,2nd person possessive forms (your),
nominative,քրտինքդ ‎(kʿrtinkʿd),քրտինքներդ ‎(kʿrtinkʿnerd)
dative,քրտինքիդ ‎(kʿrtinkʿid),քրտինքներիդ ‎(kʿrtinkʿnerid)
ablative,քրտինքիցդ ‎(kʿrtinkʿicʿd),քրտինքներիցդ ‎(kʿrtinkʿnericʿd)
instrumental,քրտինքովդ ‎(kʿrtinkʿovd),քրտինքներովդ ‎(kʿrtinkʿnerovd)
locative,քրտինքումդ ‎(kʿrtinkʿumd),քրտինքներումդ ‎(kʿrtinkʿnerumd)
,singular,plural
nominative,քրտինք ‎(kʿrtinkʿ),քրտինքներ ‎(kʿrtinkʿner)
dative,քրտնքի ‎(kʿrtnkʿi),քրտինքների ‎(kʿrtinkʿneri)
ablative,քրտնքից ‎(kʿrtnkʿicʿ),քրտինքներից ‎(kʿrtinkʿnericʿ)
instrumental,քրտնքով ‎(kʿrtnkʿov),քրտինքներով ‎(kʿrtinkʿnerov)
locative,քրտնքում ‎(kʿrtnkʿum),քրտինքներում ‎(kʿrtinkʿnerum)
,definite forms,
nominative,քրտինքը/քրտինքն ‎(kʿrtinkʿə/kʿrtinkʿn),քրտինքները/քրտինքներն ‎(kʿrtinkʿnerə/kʿrtinkʿnern)
dative,քրտնքին ‎(kʿrtnkʿin),քրտինքներին ‎(kʿrtinkʿnerin)
,1st person possessive forms (my),
nominative,քրտինքս ‎(kʿrtinkʿs),քրտինքներս ‎(kʿrtinkʿners)
dative,քրտնքիս ‎(kʿrtnkʿis),քրտինքներիս ‎(kʿrtinkʿneris)
ablative,քրտնքիցս ‎(kʿrtnkʿicʿs),քրտինքներիցս ‎(kʿrtinkʿnericʿs)
instrumental,քրտնքովս ‎(kʿrtnkʿovs),քրտինքներովս ‎(kʿrtinkʿnerovs)
locative,քրտնքումս ‎(kʿrtnkʿums),քրտինքներումս ‎(kʿrtinkʿnerums)
,2nd person possessive forms (your),
nominative,քրտինքդ ‎(kʿrtinkʿd),քրտինքներդ ‎(kʿrtinkʿnerd)
dative,քրտնքիդ ‎(kʿrtnkʿid),քրտինքներիդ ‎(kʿrtinkʿnerid)
ablative,քրտնքիցդ ‎(kʿrtnkʿicʿd),քրտինքներիցդ ‎(kʿrtinkʿnericʿd)
instrumental,քրտնքովդ ‎(kʿrtnkʿovd),քրտինքներովդ ‎(kʿrtinkʿnerovd)
locative,քրտնքումդ ‎(kʿrtnkʿumd),քրտինքներումդ ‎(kʿrtinkʿnerumd)
