0,1,2,3,4,5,6,7
infinitive,ցնծալ ‎(cʿncal),participle,ցնծացեալ ‎(cʿncacʿeal),,,,
causative,ցնծացուցանեմ ‎(cʿncacʿucʿanem),aorist stem,ցնծաց- ‎(cʿncacʿ-),,,,
person,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,ես,դու,նա,մեք,դուք,նոքա
present,ցնծամ ‎(cʿncam),ցնծաս ‎(cʿncas),ցնծայ ‎(cʿncay),ցնծամք ‎(cʿncamkʿ),ցնծայք ‎(cʿncaykʿ),ցնծան ‎(cʿncan),
imperfect,ցնծայի ‎(cʿncayi),ցնծայիր ‎(cʿncayir),ցնծայր ‎(cʿncayr),ցնծայաք ‎(cʿncayakʿ),ցնծայիք ‎(cʿncayikʿ),ցնծային ‎(cʿncayin),
aorist,ցնծացի ‎(cʿncacʿi),ցնծացեր ‎(cʿncacʿer),ցնծաց ‎(cʿncacʿ),ցնծացաք ‎(cʿncacʿakʿ),"ցնծացէք, ցնծացիք ‎(cʿncacʿēkʿ, cʿncacʿikʿ)",ցնծացին ‎(cʿncacʿin),
subjunctive,,ես,դու,նա,մեք,դուք,նոքա
present,ցնծայցեմ ‎(cʿncaycʿem),ցնծայցես ‎(cʿncaycʿes),ցնծայցէ ‎(cʿncaycʿē),ցնծայցեմք ‎(cʿncaycʿemkʿ),ցնծայցէք ‎(cʿncaycʿēkʿ),ցնծայցեն ‎(cʿncaycʿen),
aorist,ցնծացից ‎(cʿncacʿicʿ),ցնծասցես ‎(cʿncascʿes),ցնծասցէ ‎(cʿncascʿē),ցնծասցուք ‎(cʿncascʿukʿ),ցնծասջիք ‎(cʿncasǰikʿ),ցնծասցեն ‎(cʿncascʿen),
imperatives,,—,(դու),—,—,(դուք),—
imperative,—,ցնծա՛ ‎(cʿncá),—,—,ցնծացէ՛ք ‎(cʿncacʿḗkʿ),—,
cohortative,—,ցնծասջի՛ր ‎(cʿncasǰír),—,—,ցնծասջի՛ք ‎(cʿncasǰíkʿ),—,
prohibitive,—,մի՛ ցնծար ‎(mí cʿncar),—,—,մի՛ ցնծայք ‎(mí cʿncaykʿ),—,
infinitive,ցնծալ ‎(cʿncal),participle,ցնծացեալ ‎(cʿncacʿeal),,,,
causative,ցնծացուցանեմ ‎(cʿncacʿucʿanem),aorist stem,ցնծաց- ‎(cʿncacʿ-),,,,
person,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,ես,դու,նա,մեք,դուք,նոքա
present,ցնծամ ‎(cʿncam),ցնծաս ‎(cʿncas),ցնծայ ‎(cʿncay),ցնծամք ‎(cʿncamkʿ),ցնծայք ‎(cʿncaykʿ),ցնծան ‎(cʿncan),
imperfect,ցնծայի ‎(cʿncayi),ցնծայիր ‎(cʿncayir),ցնծայր ‎(cʿncayr),ցնծայաք ‎(cʿncayakʿ),ցնծայիք ‎(cʿncayikʿ),ցնծային ‎(cʿncayin),
aorist,ցնծացայ ‎(cʿncacʿay),ցնծացար ‎(cʿncacʿar),ցնծացաւ ‎(cʿncacʿaw),ցնծացաք ‎(cʿncacʿakʿ),ցնծացայք ‎(cʿncacʿaykʿ),ցնծացան ‎(cʿncacʿan),
subjunctive,,ես,դու,նա,մեք,դուք,նոքա
present,ցնծայցիմ ‎(cʿncaycʿim),ցնծայցիս ‎(cʿncaycʿis),ցնծայցի ‎(cʿncaycʿi),ցնծայցիմք ‎(cʿncaycʿimkʿ),ցնծայցիք ‎(cʿncaycʿikʿ),ցնծայցին ‎(cʿncaycʿin),
aorist,ցնծացայց ‎(cʿncacʿaycʿ),ցնծասցիս ‎(cʿncascʿis),ցնծասցի ‎(cʿncascʿi),ցնծասցուք ‎(cʿncascʿukʿ),ցնծասջիք ‎(cʿncasǰikʿ),ցնծասցին ‎(cʿncascʿin),
imperatives,,—,(դու),—,—,(դուք),—
imperative,—,ցնծացի՛ր ‎(cʿncacʿír),—,—,ցնծացարո՛ւք ‎(cʿncacʿarúkʿ),—,
cohortative,—,ցնծասջի՛ր ‎(cʿncasǰír),—,—,ցնծասջի՛ք ‎(cʿncasǰíkʿ),—,
prohibitive,—,մի՛ ցնծար ‎(mí cʿncar),—,—,մի՛ ցնծայք ‎(mí cʿncaykʿ),—,
ցնծալի ‎(cʿncali)  ցնծալից ‎(cʿncalicʿ)  ցնծատեսակ ‎(cʿncatesak),,ցնծացած ‎(cʿncacʿac)  ցնծացուցանեմ ‎(cʿncacʿucʿanem)  ցնծացուցիչ ‎(cʿncacʿucʿičʿ),,ցնծաւէտութիւն ‎(cʿncawētutʿiwn)  ցնծութիւն ‎(cʿncutʿiwn)  ցնծումն ‎(cʿncumn),,,
