0,1,2,3,4,5,6,7,8,9,10
<  6th,7th,8th  >,,,,,,,,
Cardinal : во́сем ‎(vósjem)     Ordinal : сёмы ‎(sjómy),,,,,,,,,,
,,,,,,,,,,
Audio,,(file),,,,,,,,
,masculine,neuter,feminine,plural,,,,,,
nominative,ADJ;NOM;MASC;SG,ADJ;NOM;NEUT;SG,ADJ;NOM;FEM;SG,ADJ;NOM;PL,,,,,,
genitive,ADJ;GEN;MASC/NEUT;SG,ADJ;GEN;FEM;SG,ADJ;GEN;PL,,,,,,,
dative,ADJ;DAT;MASC/NEUT;SG,ADJ;DAT;FEM;SG,ADJ;DAT;PL,,,,,,,
accusative,animate,ADJ;ANIM;ACC;MASC;SG,ADJ;ACC;NEUT;SG,ADJ;ACC;FEM;SG,ADJ;ACC;ANIM;PL,,,,,
inanimate,ADJ;INAN;ACC;MASC;SG,ADJ;ACC;INAN;PL,,,,,,,,
instrumental,ADJ;INS;MASC/NEUT;SG,ADJ;INS;FEM;SG,ADJ;INS;PL,,,,,,,
locative,ADJ;ESS;MASC/NEUT;SG,ADJ;ESS;FEM;SG,ADJ;ESS;PL,,,,,,,
,—0,—1,—2,—3,—4,—5,—6,—7,—8,—9
0—,нулявы́ ‎(nuljavý),пе́ршы ‎(pjéršy),другі́ ‎(druhí),трэ́ці ‎(tréci),чацвёрты ‎(čacvjórty),пя́ты ‎(pjáty),шо́сты ‎(šósty),сёмы ‎(sjómy),во́сьмы ‎(vósʹmy),дзявя́ты ‎(dzjavjáty)
1—,дзяся́ты ‎(dzjasjáty),адзіна́ццаты ‎(adzináccaty),двана́ццаты ‎(dvanáccaty),трына́ццаты ‎(trynáccaty),чатырна́ццаты ‎(čatyrnáccaty),пятна́ццаты ‎(pjatnáccaty),шасна́ццаты ‎(šasnáccaty),сямна́ццаты ‎(sjamnáccaty),васямна́ццаты ‎(vasjamnáccaty),дзевятна́ццаты ‎(dzjevjatnáccaty)
2—,двацца́ты ‎(dvaccáty),два́ццаць пе́ршы ‎(dváccacʹ pjéršy),два́ццаць другі́ ‎(dváccacʹ druhí),два́ццаць трэ́ці ‎(dváccacʹ tréci),два́ццаць чацвёрты ‎(dváccacʹ čacvjórty),два́ццаць пя́ты ‎(dváccacʹ pjáty),два́ццаць шо́сты ‎(dváccacʹ šósty),два́ццаць сёмы ‎(dváccacʹ sjómy),два́ццаць во́сьмы ‎(dváccacʹ vósʹmy),два́ццаць дзявя́ты ‎(dváccacʹ dzjavjáty)
3—,трыцца́ты ‎(tryccáty),тры́ццаць пе́ршы ‎(trýccacʹ pjéršy),тры́ццаць другі́ ‎(trýccacʹ druhí),тры́ццаць трэ́ці ‎(trýccacʹ tréci),тры́ццаць чацвёрты ‎(trýccacʹ čacvjórty),тры́ццаць пя́ты ‎(trýccacʹ pjáty),тры́ццаць шо́сты ‎(trýccacʹ šósty),тры́ццаць сёмы ‎(trýccacʹ sjómy),тры́ццаць во́сьмы ‎(trýccacʹ vósʹmy),тры́ццаць дзявя́ты ‎(trýccacʹ dzjavjáty)
4—,саракавы́ ‎(sarakavý),со́рак пе́ршы ‎(sórak pjéršy),со́рак другі́ ‎(sórak druhí),со́рак трэ́ці ‎(sórak tréci),со́рак чацвёрты ‎(sórak čacvjórty),со́рак пя́ты ‎(sórak pjáty),со́рак шо́сты ‎(sórak šósty),со́рак сёмы ‎(sórak sjómy),со́рак во́сьмы ‎(sórak vósʹmy),со́рак дзявя́ты ‎(sórak dzjavjáty)
5—,пяцідзеся́ты ‎(pjacidzjesjáty),пяцьдзеся́т пе́ршы ‎(pjacʹdzjesját pjéršy),пяцьдзеся́т другі́ ‎(pjacʹdzjesját druhí),пяцьдзеся́т трэ́ці ‎(pjacʹdzjesját tréci),пяцьдзеся́т чацвёрты ‎(pjacʹdzjesját čacvjórty),пяцьдзеся́т пя́ты ‎(pjacʹdzjesját pjáty),пяцьдзеся́т шо́сты ‎(pjacʹdzjesját šósty),пяцьдзеся́т сёмы ‎(pjacʹdzjesját sjómy),пяцьдзеся́т во́сьмы ‎(pjacʹdzjesját vósʹmy),пяцьдзеся́т дзявя́ты ‎(pjacʹdzjesját dzjavjáty)
6—,шасцідзеся́ты ‎(šascidzjesjáty),шэ́сцьдзесят пе́ршы ‎(šéscʹdzjesjat pjéršy),шэ́сцьдзесят другі́ ‎(šéscʹdzjesjat druhí),шэ́сцьдзесят трэ́ці ‎(šéscʹdzjesjat tréci),шэ́сцьдзесят чацвёрты ‎(šéscʹdzjesjat čacvjórty),шэ́сцьдзесят пя́ты ‎(šéscʹdzjesjat pjáty),шэ́сцьдзесят шо́сты ‎(šéscʹdzjesjat šósty),шэ́сцьдзесят сёмы ‎(šéscʹdzjesjat sjómy),шэ́сцьдзесят во́сьмы ‎(šéscʹdzjesjat vósʹmy),шэ́сцьдзесят дзявя́ты ‎(šéscʹdzjesjat dzjavjáty)
7—,сямідзеся́ты ‎(sjamidzjesjáty),се́мдзесят пе́ршы ‎(sjémdzjesjat pjéršy),се́мдзесят другі́ ‎(sjémdzjesjat druhí),се́мдзесят трэ́ці ‎(sjémdzjesjat tréci),се́мдзесят чацвёрты ‎(sjémdzjesjat čacvjórty),се́мдзесят пя́ты ‎(sjémdzjesjat pjáty),се́мдзесят шо́сты ‎(sjémdzjesjat šósty),се́мдзесят сёмы ‎(sjémdzjesjat sjómy),се́мдзесят во́сьмы ‎(sjémdzjesjat vósʹmy),се́мдзесят дзявя́ты ‎(sjémdzjesjat dzjavjáty)
8—,васьмідзеся́ты ‎(vasʹmidzjesjáty),во́семдзесят пе́ршы ‎(vósjemdzjesjat pjéršy),во́семдзесят другі́ ‎(vósjemdzjesjat druhí),во́семдзесят трэ́ці ‎(vósjemdzjesjat tréci),во́семдзесят чацвёрты ‎(vósjemdzjesjat čacvjórty),во́семдзесят пя́ты ‎(vósjemdzjesjat pjáty),во́семдзесят шо́сты ‎(vósjemdzjesjat šósty),во́семдзесят сёмы ‎(vósjemdzjesjat sjómy),во́семдзесят во́сьмы ‎(vósjemdzjesjat vósʹmy),во́семдзесят дзявя́ты ‎(vósjemdzjesjat dzjavjáty)
9—,дзевяно́сты ‎(dzjevjanósty),дзевяно́ста пе́ршы ‎(dzjevjanósta pjéršy),дзевяно́ста другі́ ‎(dzjevjanósta druhí),дзевяно́ста трэ́ці ‎(dzjevjanósta tréci),дзевяно́ста чацвёрты ‎(dzjevjanósta čacvjórty),дзевяно́ста пя́ты ‎(dzjevjanósta pjáty),дзевяно́ста шо́сты ‎(dzjevjanósta šósty),дзевяно́ста сёмы ‎(dzjevjanósta sjómy),дзевяно́ста во́сьмы ‎(dzjevjanósta vósʹmy),дзевяно́ста дзявя́ты ‎(dzjevjanósta dzjavjáty)
