0,1,2,3,4
,masculine,feminine,neuter,plural
indefinite,ясен,ясна,ясно,ясни
definite(subject form),ясният,ясната,ясното,ясните
definite(object form),ясния,,,
extended(vocative form),"ясни,ясний",,,
,masculine,feminine,neuter,plural
indefinite,по-ясен,по-ясна,по-ясно,по-ясни
definite(subject form),по-ясният,по-ясната,по-ясното,по-ясните
definite(object form),по-ясния,,,
extended(vocative form),"по-ясни,по-ясний",,,
,masculine,feminine,neuter,plural
indefinite,най-ясен,най-ясна,най-ясно,най-ясни
definite(subject form),най-ясният,най-ясната,най-ясното,най-ясните
definite(object form),най-ясния,,,
extended(vocative form),"най-ясни,най-ясний",,,
