0,1,2,3,4,5,6,7,8
participles,present active participle,past active aorist participle,past active imperfect participle,past passive participle,verbal noun,adverbial participle,,
masculine,indefinite,—,щял,щял,—,,щейки,
definite subject form,—,щелият,—,—,,,,
definite object form,—,щелия,—,—,,,,
feminine,indefinite,—,щяла,щяла,—,,,
definite,—,щялата,—,—,,,,
neuter,indefinite,—,щяло,щяло,—,—,,
definite,—,щялото,—,—,—,,,
plural,indefinite,—,щели,щели,—,—,,
definite,—,щелите,—,—,—,,,
person,singular,plural,,,,,,
first,second,third,first,second,third,,,
indicative,аз,ти,той/тя/то,ние,вие,те,,
present,ща,щеш,ще,щем,щете,щат,,
imperfect,щях,щеше,щеше,щяхме,щяхте,щяха,,
aorist,щях,щя,щя,щяхме,щяхте,щяха,,
future,pos.,ще ща,ще щеш,ще ще,ще щем,ще щете,ще щат,
neg.,няма да ща,няма да щеш,няма да ще,няма да щем,няма да щете,няма да щат,,
future in the past,pos.,щях да ща,щеше да щеш,щеше да ще,щяха да щем,щяхме да щете,щяхте да щат,
neg.,нямаше да ща,нямаше да щеш,нямаше да ще,нямаше да щем,нямаше да щете,нямаше да щат,,
present perfect,masc.,щял съм,щял си,щял е,щели сме,щели сте,щели са,
fem.,щяла съм,щяла си,щяла е,,,,,
neut.,щяло съм,щяло си,щяло е,,,,,
past perfect,masc.,бях щял,бе(ше) щял,бе(ше) щял,бяхме щели,бяхте щели,бяха щели,
fem.,бях щяла,бе(ше) щяла,бе(ше) щяла,,,,,
neut.,бях щяло,бе(ше) щяло,бе(ше) щяло,,,,,
future perfect,pos.,masc.,ще съм щял,ще си щял,ще е щял,ще сме щели,ще сте щели,ще са щели
ще бъда щял,ще бъдеш щял,ще бъде щял,,,,,,
fem.,ще съм щяла,ще си щяла,ще е щяла,,,,,
ще бъда щяла,ще бъдеш щяла,ще бъде щяла,ще бъдем щели,ще бъдете щели,ще бъдат щели,,,
neut.,ще съм щяло,ще си щяло,ще е щяло,,,,,
ще бъда щяло,ще бъдеш щяло,ще бъде щяло,,,,,,
neg.,masc.,няма да съм щял,няма да си щял,няма да е щял,няма да сме щели,няма да сте щели,няма да са щели,
няма да бъда щял,няма да бъдеш щял,няма да бъде щял,,,,,,
fem.,няма да съм щяла,няма да си щяла,няма да е щяла,,,,,
няма да бъда щяла,няма да бъдеш щяла,няма да бъде щяла,няма да бъдем щели,няма да бъдете щели,няма да бъдат щели,,,
neut.,няма да съм щяло,няма да си щяло,няма да е щяло,,,,,
