0,1,2,3,4,5,6,7
PIE root,,,,,,,
*bʰewdʰ-,,,,,,,
participles,present active participle,past active aorist participle,past active imperfect participle,past passive participle,verbal noun,adverbial participle,
masculine,indefinite,V.PTCP;ACT;PRS;MASC;SG;INDF,V.PTCP;ACT;PST;MASC;SG;INDF,V.PTCP;ACT;PST;NFH;MASC;SG;INDF,V.PTCP;PASS;PST;MASC;SG;INDF,,V.CVB
definite subject form,V.PTCP;ACT;PRS;MASC;SG;DEF;NOM,V.PTCP;ACT;PST;MASC;SG;DEF;NOM,—,V.PTCP;PASS;PST;MASC;SG;DEF;NOM,,,
definite object form,V.PTCP;ACT;PRS;MASC;SG;DEF;ACC,V.PTCP;ACT;PST;MASC;SG;DEF;ACC,—,V.PTCP;PASS;PST;MASC;SG;DEF;ACC,,,
feminine,indefinite,V.PTCP;ACT;PRS;FEM;SG;INDF,V.PTCP;ACT;PST;FEM;SG;INDF,V.PTCP;ACT;PST;NFH;FEM;SG;INDF,V.PTCP;PASS;PST;FEM;SG;INDF,,
definite,V.PTCP;ACT;PRS;FEM;SG;DEF,V.PTCP;ACT;PST;FEM;SG;DEF,—,V.PTCP;PASS;PST;FEM;SG;DEF,,,
neuter,indefinite,V.PTCP;ACT;PRS;NEUT;SG;INDF,V.PTCP;ACT;PST;NEUT;SG;INDF,V.PTCP;ACT;PST;NFH;NEUT;SG;INDF,V.PTCP;PASS;PST;NEUT;SG;INDF,V.MSDR;NEUT;SG;INDF,
definite,V.PTCP;ACT;PRS;NEUT;SG;DEF,V.PTCP;ACT;PST;NEUT;SG;DEF,—,V.PTCP;PASS;PST;NEUT;SG;DEF,V.MSDR;NEUT;SG;DEF,,
plural,indefinite,V.PTCP;ACT;PRS;PL;INDF,V.PTCP;ACT;PST;PL;INDF,V.PTCP;ACT;PST;NFH;PL;INDF,V.PTCP;PASS;PST;PL;INDF,V.MSDR;PL;INDF,
definite,V.PTCP;ACT;PRS;PL;DEF,V.PTCP;ACT;PST;PL;DEF,—,V.PTCP;PASS;PST;PL;DEF,V.MSDR;PL;DEF,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,аз,ти,той/тя/то,ние,вие,те,
present,V;IND;PRS;1;SG,V;IND;PRS;2;SG,V;IND;PRS;3;SG,V;IND;PRS;1;PL,V;IND;PRS;2;PL,V;IND;PRS;3;PL,
imperfect,V;IND;PROG;PST;1;SG,V;IND;PROG;PST;2;SG,V;IND;PROG;PST;3;SG,V;IND;PROG;PST;1;PL,V;IND;PROG;PST;2;PL,V;IND;PROG;PST;3;PL,
aorist,V;IND;PST;1;SG,V;IND;PST;2;SG,V;IND;PST;3;SG,V;IND;PST;1;PL,V;IND;PST;2;PL,V;IND;PST;3;PL,
future,pos.,Use ще followed by the present indicative tense,,,,,
neg.,Use няма да followed by the present indicative tense,,,,,,
future in the past,pos.,Use the imperfect indicative tense of ща followed by да and the present indicative tense,,,,,
neg.,Use нямаше да followed by the present indicative tense,,,,,,
present perfect,"Use the present indicative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
past perfect,"Use the impefect indicative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
future perfect,"Use the future indicative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
future perfect in the past,"Use the future in the past indicative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
renarrative,аз,ти,той/тя/то,ние,вие,те,
present and imperfect,"Use the present indicative tense of съм (leave it out in third person) and ядял m, ядяла f, ядяло n, or ядели pl",,,,,,
aorist,"Use the present indicative tense of съм (leave it out in third person) and ял m, яла f, яло n, or яли pl",,,,,,
future and future in the past,pos.,Use the present/imperfect renarrative tense of ща followed by да and the present indicative tense,,,,,
neg.,Use нямало да and the present indicative tense,,,,,,
present and past perfect,"Use the present/imperfect renarrative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
future perfect and future perfect in the past,"Use the future/future in the past renarrative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
dubitative,аз,ти,той/тя/то,ние,вие,те,
present and mperfect,"Use the present/imperfect renarrative tense of съм and ядял m, ядяла f, ядяло n, or ядели pl",,,,,,
aorist,"Use the aorist renarrative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
future and future in the past,pos.,Use the present/imperfect dubitative tense of ща followed by да and the present indicative tense,,,,,
neg.,Use нямало било да and the present indicative tense,,,,,,
present and past perfect,none,,,,,,
future perfect and future perfect in the past,"Use the future/future in the past dubitative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
conclusive,аз,ти,той/тя/то,ние,вие,те,
present and imperfect,"Use the present indicative tense of съм and ядял m, ядяла f, ядяло n, or ядели pl",,,,,,
aorist,"Use the present indicative tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
future and future in the past,pos.,Use the present/imperfect conclusive tense of ща followed by да and the present indicative tense,,,,,
neg.,Use нямало е да and the present indicative tense,,,,,,
present and past perfect,"Use the present/imperfect conclusive tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
future perfect and future perfect in the past,"Use the future/future in the past conclusive tense of съм and ял m, яла f, яло n, or яли pl",,,,,,
conditional,аз,ти,той/тя/то,ние,вие,те,
"Use the first aorist indicative tense of бъда and ял m, яла f, яло n, or яли pl",,,,,,,
imperative,-,ти,-,-,вие,-,
,V;IMP;2;SG,,,V;IMP;2;PL,,,
