0,1,2,3,4,5,6,7,8
brætsejlads c  brætsejler c  brætspil c  dambræt n  foderbræt n  forskærerbræt n  gribebræt n  hakkebræt n  hækbræt n  instrumentbræt n  knagebræt n,,kniplebræt n  manglebræt n  regnebræt n  rivebræt n  rullebræt n  sejlbræt n  skakbræt n  skærebræt n  skærmbræt n  slibebræt n  smørebræt n,,springbræt n  spækbræt n  spækkebræt n  strygebræt n  surfbræt n  tegnebræt n  trinbræt n  vagebræt n  vaskebræt n  vippebræt n  ærmebræt n,,,,
neutergender,Singular,Plural,,,,,,
indefinite,definite,indefinite,definite,,,,,
nominative,bræt,brættet,brætter,brætterne,,,,
genitive,bræts,brættets,brætters,brætternes,,,,
bræddegulv n  bræddeskur n  bræddestabel c  bræddevæg c,,bundbræt n  forskallingsbræt n  gangbræt n  gulvbræt n,,indskudsbræt n  profilbræt n  sternbræt n,,,,
neutergender,Singular,Plural,,,,,,
indefinite,definite,indefinite,definite,,,,,
nominative,bræt,brættet,brædder,brædderne,,,,
genitive,bræts,brættets,brædders,bræddernes,,,,
