0,1,2,3,4,5,6,7
commongender,Singular,Plural,,,,,
indefinite,definite,indefinite,definite,,,,
nominative,mine,minen,miner,minerne,,,
genitive,mines,minens,miners,minernes,,,
Number,Person,Inflection,Nominative,Accusative,Possessive,Reflexive,Reflexive possessive
Singular,First,common,jeg,mig,min,,
neuter,mit,,,,,,
plural,mine,,,,,,
Second,common,du,dig,din,,,
neuter,dit,,,,,,
plural,dine,,,,,,
formal,De,Dem,Deres,,,,
Third,masculine,han,ham,hans,sig,sin,
feminine,hun,hende,hendes,,,,
common,den,den,dens,,,,
neuter,det,det,dets,sit,,,
plural,,sine,,,,,
Plural,First,—,vi,os,vores,,
common,vor,,,,,,
neuter,vort,,,,,,
plural,vore,,,,,,
Second,–,I,jer,jeres,,,
formal,De,Dem,Deres,,,,
Third,–,de,dem,deres,sig,,
