0,1,2,3,4,5,6
Audio,,(file),,,,
preposition,—,,,,,
postpositional adv.,af,,,,,
+ het (it),eraf,,,,,
+ dit (this),hieraf,,,,,
+ dat (that),daaraf,,,,,
+ wat (what),waaraf,,,,,
+ iets (something),ergens af,,,,,
+ niets (nothing),nergens af,,,,,
+ alles (everything),overal af,,,,,
af en toe,,"afbakenen  afbijten  afbreken, afbraak  afbrokkelen  afdwalen  afgeven  afhaken  afhalen  afkalven  afkomen, afkomst  afkopen  afkorten, afkorting  afleggen",,"afleiden, afleiding  aflopen, afloop  afluisteren  afmaken  afmeten, afmeting  afplatten  afraden  afscheiden  afschuren  afslaan  afslanken  afsluiten  afstaan",,"afstemmen  afstoten, afstoting  afstraffen  afstuderen  aftreden  aftrekken  afwassen  afwerpen  afwijken  afwijzen  afzetten, afzetting  afzonderen  afzweren"
