0,1,2,3,4
Audio,,(file),,
Inflection of blauw,,,,
uninflected,blauw,,,
inflected,blauwe,,,
comparative,blauwer,,,
,positive,comparative,superlative,
predicative/adverbial,blauw,blauwer,het blauwsthet blauwste,
indefinite,m./f. sing.,blauwe,blauwere,blauwste
n. sing.,blauw,blauwer,blauwste,
plural,blauwe,blauwere,blauwste,
definite,blauwe,blauwere,blauwste,
partitive,blauws,blauwers,—,
"blauwachtig  (blue shades): azuurblauw, donkerblauw, hemelsblauw, koningsblauw, lichtblauw, marineblauw  blauwalgen pl  blauwbaard m  blauwbekken  blauw-blauw  blauwboek n  blauwheid f  blauwsel n  blauwtje n  blauwverschuiving f  blauwverver m  blauwzuur n  (animal species): blauwbok, blauwborstje, blauwkeeltje, blauwmees, blauwvoet  (plant species): blauweregen, blauwmaanzaad n  (bruised): blauw oog n, bont en blauw 'black and blue'  hemelblauw",,,,
Colors in Dutch · kleuren (layout · text),,,,
rood,groen,geel,roomwit,wit
karmijnrood,magenta,groenblauw/petrolblauw,groengeel/limoengroen,roze
indigo,blauw,oranje,grijs,violet
zwart,paars,bruin,azuurblauw,blauwgroen/cyaan
