0,1,2
Audio,,(file)
PIE root,,
*bʰer-,,
"Inflection of gebeuren (weak, prefixed)",,
infinitive,gebeuren,
past singular,gebeurde,
past participle,gebeurd,
infinitive,gebeuren,
gerund,gebeuren n,
verbal noun,—,
,present tense,past tense
1st person singular,gebeur,gebeurde
2nd person sing. (jij),gebeurt,gebeurde
2nd person sing. (u),gebeurt,gebeurde
2nd person sing. (gij),gebeurt,gebeurde
3rd person singular,gebeurt,gebeurde
plural,gebeuren,gebeurden
,,
subjunctive sing.1,gebeure,gebeurde
subjunctive plur.1,gebeuren,gebeurden
,,
imperative sing.,gebeur,
imperative plur.1,gebeurt,
,,
participles,gebeurend,gebeurd
1) Archaic.,,
