0,1,2,3,4
"Inflection of doodbliksemen (weak, separable)",,,,
infinitive,doodbliksemen,,,
past singular,bliksemde dood,,,
past participle,doodgebliksemd,,,
infinitive,doodbliksemen,,,
gerund,doodbliksemen n,,,
verbal noun,—,,,
,main clause,subordinate clause,,
,present tense,past tense,present tense,past tense
1st person singular,bliksem dood,bliksemde dood,doodbliksem,doodbliksemde
2nd person sing. (jij),bliksemt dood,bliksemde dood,doodbliksemt,doodbliksemde
2nd person sing. (u),bliksemt dood,bliksemde dood,doodbliksemt,doodbliksemde
2nd person sing. (gij),bliksemt dood,bliksemde dood,doodbliksemt,doodbliksemde
3rd person singular,bliksemt dood,bliksemde dood,doodbliksemt,doodbliksemde
plural,bliksemen dood,bliksemden dood,doodbliksemen,doodbliksemden
,,,,
subjunctive sing.1,blikseme dood,bliksemde dood,doodblikseme,doodbliksemde
subjunctive plur.1,bliksemen dood,bliksemden dood,doodbliksemen,doodbliksemden
,,,,
imperative sing.,bliksem dood,,,
imperative plur.1,bliksemt dood,,,
,,,,
participles,doodbliksemend,doodgebliksemd,,
1) Archaic.,,,,
