0,1,2,3,4
Declension of læra,,,,
f1,singular,plural,,
indefinite,definite,indefinite,definite,
nominative,læra,læran,lærur,lærurnar
accusative,læru,læruna,lærur,lærurnar
dative,læru,læruni,lærum,lærunum
genitive,læru,lærunnar,læra,læranna
bendingarlæra (morphology)  heimstaðarlæra (local history)  ljóðlæra (phonetics),,mállæra (grammar)  orðalagslæra (syntax)  teldulæra (computer science),,
v-1,,,,
,,,,
infinitive,læra,,,
present participle,lærandi,,,
past participle a7,lærdur,,,
supine,lært,,,
number,singular,plural,,
person,first,second,third,all
indicative,eg,tú,hann/hon/tað,"vit, tit, teir/tær/tey, tygum"
present,læri,lærir,lærir,læra
past,lærdi,lærdi,lærdi,lærdu
imperative,–,tú,–,tit
present,—,lær!,—,lærið!
