0,1,2,3,4
v-18,,,,
,,,,
infinitive,vekja,,,
present participle,vekjandi,,,
past participle a7,vakdur,,,
supine,vakt,,,
number,singular,plural,,
person,first,second,third,all
indicative,eg,tú,hann/hon/tað,"vit, tit, teir/tær/tey, tygum"
present,vekji,vekur,vekur,vekja
past,vakdi,vakdi,vakdi,vakdu
imperative,–,tú,–,tit
present,—,vek!,—,vekjið!
v-16,,,,
,,,,
infinitive,vekja,,,
present participle,vekjandi,,,
past participle a5,vaktur,,,
supine,vakt,,,
number,singular,plural,,
person,first,second,third,all
indicative,eg,tú,hann/hon/tað,"vit, tit, teir/tær/tey, tygum"
present,veki,vekir,vekir,vekja
past,vakti,vakti,vakti,vaktu
imperative,–,tú,–,tit
present,—,vek!,—,vekið!
