0,1,2,3
<  1,2.0,3  >,
Cardinal : kaksi     Ordinal : toinen     Adverbial : kahdesti     Multiplier : kaksinkertainen     Distributive : kaksittain,,,
Finnish Wikipedia article on toinen,,,
"Inflection of toinen (Kotus type 38/nainen, no gradation)",,,
nominative,toinen,toiset,
genitive,toisen,toistentoisien,
partitive,toista,toisia,
illative,toiseen,toisiin,
,singular,plural,
nominative,toinen,toiset,
accusative,nom.,toinen,toiset
gen.,toisen,,
genitive,toisen,toistentoisien,
partitive,toista,toisia,
inessive,toisessa,toisissa,
elative,toisesta,toisista,
illative,toiseen,toisiin,
adessive,toisella,toisilla,
ablative,toiselta,toisilta,
allative,toiselle,toisille,
essive,toisena,toisina,
translative,toiseksi,toisiksi,
instructive,—,toisin,
abessive,toisetta,toisitta,
comitative,—,toisine,
adverbialform,singular,plural,
superessive,toisaalla,,
delative,toisaalta,,
sublative,toisaalle,,
lative,,,
temporal,,,
causative,,,
multiplicative,,,
distributive,,,
temporaldistributive,,,
prolative,,,
situative,,,
oppositive,,,
