0,1,2,3
"Inflection of fobia (Kotus type 12/kulkija, no gradation)",,,
nominative,fobia,fobiat,
genitive,fobian,fobioidenfobioitten,
partitive,fobiaa,fobioita,
illative,fobiaan,fobioihin,
,singular,plural,
nominative,fobia,fobiat,
accusative,nom.,fobia,fobiat
gen.,fobian,,
genitive,fobian,fobioidenfobioittenfobiainrare,
partitive,fobiaa,fobioita,
inessive,fobiassa,fobioissa,
elative,fobiasta,fobioista,
illative,fobiaan,fobioihin,
adessive,fobialla,fobioilla,
ablative,fobialta,fobioilta,
allative,fobialle,fobioille,
essive,fobiana,fobioina,
translative,fobiaksi,fobioiksi,
instructive,—,fobioin,
abessive,fobiatta,fobioitta,
comitative,—,fobioineen,
agorafobia  erytrofobia,,klaustrofobia  thalatrofobia,
