0,1,2,3,4,5
"Inflection of gratinoida (Kotus type 62/voida, no gradation)",,,,,
indicative mood,,,,,
present tense,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,V;ACT;PRS;POS;IND;1;SG,V;ACT;PRS;NEG;IND;1;SG,1st sing.,V;ACT;PRS;PRF;POS;IND;1;SG,V;ACT;PRS;PRF;NEG;IND;1;SG
2nd sing.,V;ACT;PRS;POS;IND;2;SG,V;ACT;PRS;NEG;IND;2;SG,2nd sing.,V;ACT;PRS;PRF;POS;IND;2;SG,V;ACT;PRS;PRF;NEG;IND;2;SG
3rd sing.,V;ACT;PRS;POS;IND;3;SG,V;ACT;PRS;NEG;IND;3;SG,3rd sing.,V;ACT;PRS;PRF;POS;IND;3;SG,V;ACT;PRS;PRF;NEG;IND;3;SG
1st plur.,V;ACT;PRS;POS;IND;1;PL,V;ACT;PRS;NEG;IND;1;PL,1st plur.,V;ACT;PRS;PRF;POS;IND;1;PL,V;ACT;PRS;PRF;NEG;IND;1;PL
2nd plur.,V;ACT;PRS;POS;IND;2;PL,V;ACT;PRS;NEG;IND;2;PL,2nd plur.,V;ACT;PRS;PRF;POS;IND;2;PL,V;ACT;PRS;PRF;NEG;IND;2;PL
3rd plur.,V;ACT;PRS;POS;IND;3;PL,V;ACT;PRS;NEG;IND;3;PL,3rd plur.,V;ACT;PRS;PRF;POS;IND;3;PL,V;ACT;PRS;PRF;NEG;IND;3;PL
passive,V;PASS;PRS;POS;IND,V;PASS;PRS;NEG;IND,passive,V;PASS;PRS;PRF;POS;IND,V;PASS;PRS;PRF;NEG;IND
past tense,pluperfect,,,,
person,positive,negative,person,positive,negative
1st sing.,V;ACT;PST;POS;IND;1;SG,V;ACT;PST;NEG;IND;1;SG,1st sing.,V;ACT;PST;PRF;POS;IND;1;SG,V;ACT;PST;PRF;NEG;IND;1;SG
2nd sing.,V;ACT;PST;POS;IND;2;SG,V;ACT;PST;NEG;IND;2;SG,2nd sing.,V;ACT;PST;PRF;POS;IND;2;SG,V;ACT;PST;PRF;NEG;IND;2;SG
3rd sing.,V;ACT;PST;POS;IND;3;SG,V;ACT;PST;NEG;IND;3;SG,3rd sing.,V;ACT;PST;PRF;POS;IND;3;SG,V;ACT;PST;PRF;NEG;IND;3;SG
1st plur.,V;ACT;PST;POS;IND;1;PL,V;ACT;PST;NEG;IND;1;PL,1st plur.,V;ACT;PST;PRF;POS;IND;1;PL,V;ACT;PST;PRF;NEG;IND;1;PL
2nd plur.,V;ACT;PST;POS;IND;2;PL,V;ACT;PST;NEG;IND;2;PL,2nd plur.,V;ACT;PST;PRF;POS;IND;2;PL,V;ACT;PST;PRF;NEG;IND;2;PL
3rd plur.,V;ACT;PST;POS;IND;3;PL,V;ACT;PST;NEG;IND;3;PL,3rd plur.,V;ACT;PST;PRF;POS;IND;3;PL,V;ACT;PST;PRF;NEG;IND;3;PL
passive,V;PASS;PST;POS;IND,V;PASS;PST;NEG;IND,passive,V;PASS;PST;PRF;POS;IND,V;PASS;PST;PRF;NEG;IND
conditional mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,V;ACT;PRS;POS;COND;1;SG,V;ACT;PRS;NEG;COND;1;SG,1st sing.,V;ACT;PRS;PRF;POS;COND;1;SG,V;ACT;PRS;PRF;NEG;COND;1;SG
2nd sing.,V;ACT;PRS;POS;COND;2;SG,V;ACT;PRS;NEG;COND;2;SG,2nd sing.,V;ACT;PRS;PRF;POS;COND;2;SG,V;ACT;PRS;PRF;NEG;COND;2;SG
3rd sing.,V;ACT;PRS;POS;COND;3;SG,V;ACT;PRS;NEG;COND;3;SG,3rd sing.,V;ACT;PRS;PRF;POS;COND;3;SG,V;ACT;PRS;PRF;NEG;COND;3;SG
1st plur.,V;ACT;PRS;POS;COND;1;PL,V;ACT;PRS;NEG;COND;1;PL,1st plur.,V;ACT;PRS;PRF;POS;COND;1;PL,V;ACT;PRS;PRF;NEG;COND;1;PL
2nd plur.,V;ACT;PRS;POS;COND;2;PL,V;ACT;PRS;NEG;COND;2;PL,2nd plur.,V;ACT;PRS;PRF;POS;COND;2;PL,V;ACT;PRS;PRF;NEG;COND;2;PL
3rd plur.,V;ACT;PRS;POS;COND;3;PL,V;ACT;PRS;NEG;COND;3;PL,3rd plur.,V;ACT;PRS;PRF;POS;COND;3;PL,V;ACT;PRS;PRF;NEG;COND;3;PL
passive,V;PASS;PRS;POS;COND,V;PASS;PRS;NEG;COND,passive,V;PASS;PRS;PRF;POS;COND,V;PASS;PRS;PRF;NEG;COND
imperative mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,—,—,1st sing.,—,—
2nd sing.,V;ACT;PRS;POS;IMP;2;SG,V;ACT;PRS;NEG;IMP;2;SG,2nd sing.,V;ACT;PRS;PRF;POS;IMP;2;SG,V;ACT;PRS;PRF;NEG;IMP;2;SG
3rd sing.,V;ACT;PRS;POS;IMP;3;SG,V;ACT;PRS;NEG;IMP;3;SG,3rd sing.,V;ACT;PRS;PRF;POS;IMP;3;SG,V;ACT;PRS;PRF;NEG;IMP;3;SG
1st plur.,V;ACT;PRS;POS;IMP;1;PL,V;ACT;PRS;NEG;IMP;1;PL,1st plur.,V;ACT;PRS;PRF;POS;IMP;1;PL,V;ACT;PRS;PRF;NEG;IMP;1;PL
2nd plur.,V;ACT;PRS;POS;IMP;2;PL,V;ACT;PRS;NEG;IMP;2;PL,2nd plur.,V;ACT;PRS;PRF;POS;IMP;2;PL,V;ACT;PRS;PRF;NEG;IMP;2;PL
3rd plur.,V;ACT;PRS;POS;IMP;3;PL,V;ACT;PRS;NEG;IMP;3;PL,3rd plur.,V;ACT;PRS;PRF;POS;IMP;3;PL,V;ACT;PRS;PRF;NEG;IMP;3;PL
passive,V;PASS;PRS;POS;IMP,V;PASS;PRS;NEG;IMP,passive,V;PASS;PRS;PRF;POS;IMP,V;PASS;PRS;PRF;NEG;IMP
potential mood,,,,,
present,perfect,,,,
person,positive,negative,person,positive,negative
1st sing.,V;ACT;PRS;POS;POT;1;SG,V;ACT;PRS;NEG;POT;1;SG,1st sing.,V;ACT;PRS;PRF;POS;POT;1;SG,V;ACT;PRS;PRF;NEG;POT;1;SG
2nd sing.,V;ACT;PRS;POS;POT;2;SG,V;ACT;PRS;NEG;POT;2;SG,2nd sing.,V;ACT;PRS;PRF;POS;POT;2;SG,V;ACT;PRS;PRF;NEG;POT;2;SG
3rd sing.,V;ACT;PRS;POS;POT;3;SG,V;ACT;PRS;NEG;POT;3;SG,3rd sing.,V;ACT;PRS;PRF;POS;POT;3;SG,V;ACT;PRS;PRF;NEG;POT;3;SG
1st plur.,V;ACT;PRS;POS;POT;1;PL,V;ACT;PRS;NEG;POT;1;PL,1st plur.,V;ACT;PRS;PRF;POS;POT;1;PL,V;ACT;PRS;PRF;NEG;POT;1;PL
2nd plur.,V;ACT;PRS;POS;POT;2;PL,V;ACT;PRS;NEG;POT;2;PL,2nd plur.,V;ACT;PRS;PRF;POS;POT;2;PL,V;ACT;PRS;PRF;NEG;POT;2;PL
