0,1,2,3,4,5,6,7
Audio,,(file),,,,,
,simple,compound,,,,,
infinitive,ménager,avoir ménagé,,,,,
gerund,en ménageant,en ayant ménagé,,,,,
present participle,ménageant/me.na.ʒɑ̃/,,,,,,
past participle,ménagé/me.na.ʒe/,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,je (j’),tu,il,nous,vous,ils,
simpletenses,present,ménage/me.naʒ/,ménages/me.naʒ/,ménage/me.naʒ/,ménageons/me.na.ʒɔ̃/,ménagez/me.na.ʒe/,ménagent/me.naʒ/
imperfect,ménageais/me.na.ʒɛ/,ménageais/me.na.ʒɛ/,ménageait/me.na.ʒɛ/,ménagions/me.na.ʒjɔ̃/,ménagiez/me.na.ʒje/,ménageaient/me.na.ʒɛ/,
past historic1,ménageai/me.na.ʒe/,ménageas/me.na.ʒa/,ménagea/me.na.ʒa/,ménageâmes/me.na.ʒam/,ménageâtes/me.na.ʒat/,ménagèrent/me.na.ʒɛʁ/,
future,ménagerai/me.na.ʒə.ʁe/,ménageras/me.na.ʒə.ʁa/,ménagera/me.na.ʒə.ʁa/,ménagerons/me.na.ʒə.ʁɔ̃/,ménagerez/me.na.ʒə.ʁe/,ménageront/me.na.ʒə.ʁɔ̃/,
conditional,ménagerais/me.na.ʒə.ʁɛ/,ménagerais/me.na.ʒə.ʁɛ/,ménagerait/me.na.ʒə.ʁɛ/,ménagerions/me.na.ʒə.ʁjɔ̃/,ménageriez/me.na.ʒə.ʁje/,ménageraient/me.na.ʒə.ʁɛ/,
compoundtenses,present perfect,Use the present tense of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect tense of avoir followed by the past participle,,,,,,
past anterior1,Use the past historic tense of avoir followed by the past participle,,,,,,
future perfect,Use the future tense of avoir followed by the past participle,,,,,,
conditional perfect,Use the conditional tense of avoir followed by the past participle,,,,,,
subjunctive,que je (j’),que tu,qu’il,que nous,que vous,qu’ils,
simpletenses,present,ménage/me.naʒ/,ménages/me.naʒ/,ménage/me.naʒ/,ménagions/me.na.ʒjɔ̃/,ménagiez/me.na.ʒje/,ménagent/me.naʒ/
imperfect1,ménageasse/me.na.ʒas/,ménageasses/me.na.ʒas/,ménageât/me.na.ʒa/,ménageassions/me.na.ʒa.sjɔ̃/,ménageassiez/me.na.ʒa.sje/,ménageassent/me.na.ʒas/,
compoundtenses,past,Use the present subjunctive tense of avoir followed by the past participle,,,,,
pluperfect1,Use the imperfect subjunctive tense of avoir followed by the past participle,,,,,,
imperative,–,tu,–,nous,vous,–,
—,ménage/me.naʒ/,—,ménageons/me.na.ʒɔ̃/,ménagez/me.na.ʒe/,—,,
1literary tenses,,,,,,,
