0,1,2,3,4,5,6,7
,simple,compound,,,,,
infinitive,follower,avoir followé,,,,,
gerund,en followant,en ayant followé,,,,,
present participle,followant/fɔ.lɔ.wɑ̃/,,,,,,
past participle,followé/fɔ.lɔ.we/,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,je (j’),tu,il,nous,vous,ils,
simpletenses,present,followe/fɔ.lɔw/,followes/fɔ.lɔw/,followe/fɔ.lɔw/,followons/fɔ.lɔ.wɔ̃/,followez/fɔ.lɔ.we/,followent/fɔ.lɔw/
imperfect,followais/fɔ.lɔ.wɛ/,followais/fɔ.lɔ.wɛ/,followait/fɔ.lɔ.wɛ/,followions/fɔ.lɔ.wjɔ̃/,followiez/fɔ.lɔ.wje/,followaient/fɔ.lɔ.wɛ/,
past historic1,followai/fɔ.lɔ.we/,followas/fɔ.lɔ.wa/,followa/fɔ.lɔ.wa/,followâmes/fɔ.lɔ.wam/,followâtes/fɔ.lɔ.wat/,followèrent/fɔ.lɔ.wɛʁ/,
future,followerai/fɔ.lɔ.wə.ʁe/,followeras/fɔ.lɔ.wə.ʁa/,followera/fɔ.lɔ.wə.ʁa/,followerons/fɔ.lɔ.wə.ʁɔ̃/,followerez/fɔ.lɔ.wə.ʁe/,followeront/fɔ.lɔ.wə.ʁɔ̃/,
conditional,followerais/fɔ.lɔ.wə.ʁɛ/,followerais/fɔ.lɔ.wə.ʁɛ/,followerait/fɔ.lɔ.wə.ʁɛ/,followerions/fɔ.lɔ.wə.ʁjɔ̃/,followeriez/fɔ.lɔ.wə.ʁje/,followeraient/fɔ.lɔ.wə.ʁɛ/,
compoundtenses,present perfect,Use the present tense of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect tense of avoir followed by the past participle,,,,,,
past anterior1,Use the past historic tense of avoir followed by the past participle,,,,,,
future perfect,Use the future tense of avoir followed by the past participle,,,,,,
conditional perfect,Use the conditional tense of avoir followed by the past participle,,,,,,
subjunctive,que je (j’),que tu,qu’il,que nous,que vous,qu’ils,
simpletenses,present,followe/fɔ.lɔw/,followes/fɔ.lɔw/,followe/fɔ.lɔw/,followions/fɔ.lɔ.wjɔ̃/,followiez/fɔ.lɔ.wje/,followent/fɔ.lɔw/
imperfect1,followasse/fɔ.lɔ.was/,followasses/fɔ.lɔ.was/,followât/fɔ.lɔ.wa/,followassions/fɔ.lɔ.wa.sjɔ̃/,followassiez/fɔ.lɔ.wa.sje/,followassent/fɔ.lɔ.was/,
compoundtenses,past,Use the present subjunctive tense of avoir followed by the past participle,,,,,
pluperfect1,Use the imperfect subjunctive tense of avoir followed by the past participle,,,,,,
imperative,–,tu,–,nous,vous,–,
—,followe/fɔ.lɔw/,—,followons/fɔ.lɔ.wɔ̃/,followez/fɔ.lɔ.we/,—,,
1literary tenses,,,,,,,
