0,1,2,3,4,5,6
,Singular,Plural,Archaic plural,,,
nominative,ჯოკერი (ǰokeri),ჯოკრები (ǰokrebi),ჯოკერნი (ǰokerni),,,
ergative,ჯოკერმა (ǰokerma),ჯოკრებმა (ǰokrebma),ჯოკერთა (ǰokert'a),,,
dative,ჯოკერს (ǰokers),ჯოკრებს (ǰokrebs),ჯოკერთა (ǰokert'a),,,
genitive,ჯოკრის (ǰokris),ჯოკრების (ǰokrebis),ჯოკერთა (ǰokert'a),,,
instrumental,ჯოკრით (ǰokrit'),ჯოკრებით (ǰokrebit'),,,,
adverbial,ჯოკრად (ǰokrad),ჯოკრებად (ǰokrebad),,,,
vocative,ჯოკერო (ǰokero),ჯოკრებო (ǰokrebo),ჯოკერნო (ǰokerno),,,
Playing cards in Georgian · ? (layout · text),,,,,,
,,,,,,
ტუზი ‎(ṭuzi),ორიანი ‎(oriani),სამიანი ‎(samiani),ოთხიანი ‎(otxiani),ხუთიანი ‎(xutiani),ექვსიანი ‎(ekvsiani),შვიდიანი ‎(švidiani)
,,,,,,
რვიანი ‎(rviani),ცხრიანი ‎(cxriani),ათიანი ‎(atiani),ვალეტი ‎(valeṭi),დამა ‎(dama),კაკო ‎(ḳaḳo),ჯოკერი ‎(ǯoḳeri)
