0,1,2,3,4,5
PIE root,,,,,
*ǵʰelh₃-,,,,,
audio (Germany),,(file),,,
audio (Austria),,(file),,,
number & gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,er ist golden,sie ist golden,es ist golden,sie sind golden,
strong declension (without article),nominative,goldener,goldene,goldenes,goldene
genitive,goldenen,goldener,goldenen,goldener,
dative,goldenem,goldener,goldenem,goldenen,
accusative,goldenen,goldene,goldenes,goldene,
weak declension (with definite article),nominative,der goldene,die goldene,das goldene,die goldenen
genitive,des goldenen,der goldenen,des goldenen,der goldenen,
dative,dem goldenen,der goldenen,dem goldenen,den goldenen,
accusative,den goldenen,die goldene,das goldene,die goldenen,
mixed declension (with indefinite article),nominative,ein goldener,eine goldene,ein goldenes,(keine) goldenen
genitive,eines goldenen,einer goldenen,eines goldenen,(keiner) goldenen,
dative,einem goldenen,einer goldenen,einem goldenen,(keinen) goldenen,
accusative,einen goldenen,eine goldene,ein goldenes,(keine) goldenen,
number & gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,er ist goldener,sie ist goldener,es ist goldener,sie sind goldener,
strong declension (without article),nominative,goldenerer,goldenere,goldeneres,goldenere
genitive,goldeneren,goldenerer,goldeneren,goldenerer,
dative,goldenerem,goldenerer,goldenerem,goldeneren,
accusative,goldeneren,goldenere,goldeneres,goldenere,
weak declension (with definite article),nominative,der goldenere,die goldenere,das goldenere,die goldeneren
genitive,des goldeneren,der goldeneren,des goldeneren,der goldeneren,
dative,dem goldeneren,der goldeneren,dem goldeneren,den goldeneren,
accusative,den goldeneren,die goldenere,das goldenere,die goldeneren,
mixed declension (with indefinite article),nominative,ein goldenerer,eine goldenere,ein goldeneres,(keine) goldeneren
genitive,eines goldeneren,einer goldeneren,eines goldeneren,(keiner) goldeneren,
dative,einem goldeneren,einer goldeneren,einem goldeneren,(keinen) goldeneren,
accusative,einen goldeneren,eine goldenere,ein goldeneres,(keine) goldeneren,
number & gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,er ist am goldensten,sie ist am goldensten,es ist am goldensten,sie sind am goldensten,
strong declension (without article),nominative,goldenster,goldenste,goldenstes,goldenste
genitive,goldensten,goldenster,goldensten,goldenster,
dative,goldenstem,goldenster,goldenstem,goldensten,
accusative,goldensten,goldenste,goldenstes,goldenste,
weak declension (with definite article),nominative,der goldenste,die goldenste,das goldenste,die goldensten
genitive,des goldensten,der goldensten,des goldensten,der goldensten,
dative,dem goldensten,der goldensten,dem goldensten,den goldensten,
accusative,den goldensten,die goldenste,das goldenste,die goldensten,
mixed declension (with indefinite article),nominative,ein goldenster,eine goldenste,ein goldenstes,(keine) goldensten
genitive,eines goldensten,einer goldensten,eines goldensten,(keiner) goldensten,
dative,einem goldensten,einer goldensten,einem goldensten,(keinen) goldensten,
accusative,einen goldensten,eine goldenste,ein goldenstes,(keine) goldensten,
