0,1,2,3,4
Chemical element,,,,
H,,,,
Next: Helium (He),,,,
Audio (Austria),,(file),,
Audio,,(file),,
,singular,,,
,indef.,def.,noun,
nominative,ein,der,Wasserstoff,
genitive,eines,des,"Wasserstoffes,Wasserstoffs",
dative,einem,dem,"Wasserstoff,Wasserstoffe1",
accusative,einen,den,Wasserstoff,
ablative,den,,,
vocative,den,,,
Wasserstoffabspaltung f  Wasserstoffatom n ‎(“hydrogen atom”)  wasserstoffblond,,Wasserstoffbombe f ‎(“hydrogen bomb”)  Wasserstoffdiffusion f,,Wasserstoffmolekül n ‎(“hydrogen molecule”)  Wasserstoffperoxid n ‎(“hydrogen peroxide”)
