0,1,2,3,4,5
Picture dictionary,,,,,
,,,,,
Organismus,Organismus,Organismus,,,
Organismus,Organismus,,,,
Organismus,,,,,
Baum  Konifere  Busch  Blume,Baum  Konifere  Busch  Blume,Baum,Konifere,Busch,Blume
Baum  Konifere  Busch  Blume,Baum,Konifere,Busch,Blume,
Baum,,,,,
Konifere,,,,,
Busch,,,,,
Blume,,,,,
Organismus,Organismus,,,,
Organismus,,,,,
Organismus,,,,,
Baum  Konifere  Busch  Blume,Baum,Konifere,Busch,Blume,
Baum,,,,,
Konifere,,,,,
Busch,,,,,
Blume,,,,,
Baum,,,,,
Konifere,,,,,
Busch,,,,,
Blume,,,,,
Audio,,(file),,,
,singular,plural,,,
,indef.,def.,noun,def.,noun
nominative,eine,die,Pflanze,die,Pflanzen
genitive,einer,der,Pflanze,der,Pflanzen
dative,einer,der,Pflanze,den,Pflanzen
accusative,eine,die,Pflanze,die,Pflanzen
Giftpflanze f  Heilpflanze f  Kulturpflanze f  Topfpflanze f,,Wasserpflanze f  Zierpflanze f  Zimmerpflanze f,,,
