0,1,2,3,4,5,6,7,8
Picture dictionary,,,,,,,,
,,,,,,,,
Pflanze,Pflanze,Pflanze,,,,,,
Pflanze,Pflanze,,,,,,,
Pflanze,,,,,,,,
Wurzel  Stamm  Ast  Blatt  Nadel  Frucht,Wurzel  Stamm  Ast  Blatt  Nadel  Frucht,Wurzel,Stamm,Ast,Blatt,Nadel,Frucht,
Wurzel  Stamm  Ast  Blatt  Nadel  Frucht,Wurzel,Stamm,Ast,Blatt,Nadel,Frucht,,
Wurzel,,,,,,,,
Stamm,,,,,,,,
Ast,,,,,,,,
Blatt,,,,,,,,
Nadel,,,,,,,,
Frucht,,,,,,,,
Pflanze,Pflanze,,,,,,,
Pflanze,,,,,,,,
Pflanze,,,,,,,,
Wurzel  Stamm  Ast  Blatt  Nadel  Frucht,Wurzel,Stamm,Ast,Blatt,Nadel,Frucht,,
Wurzel,,,,,,,,
Stamm,,,,,,,,
Ast,,,,,,,,
Blatt,,,,,,,,
Nadel,,,,,,,,
Frucht,,,,,,,,
Wurzel,,,,,,,,
Stamm,,,,,,,,
Ast,,,,,,,,
Blatt,,,,,,,,
Nadel,,,,,,,,
Frucht,,,,,,,,
audio,,(file),,,,,,
,singular,plural,,,,,,
,indef.,def.,noun,def.,noun,,,
nominative,ein,der,Baum,die,Bäume,,,
genitive,eines,des,"Baumes,Baums",der,Bäume,,,
dative,einem,dem,"Baum,Baume1",den,Bäumen,,,
accusative,einen,den,Baum,die,Bäume,,,
Affenbrotbaum m  Apfelsinenbaum m  Apfelbaum m  Baumbast m  Baumgartner m  Baumhaus n  Baumkunde f,,Baumkrone f  Baumkuchen m  Baumralle f  Baumschule f  Baumwolle f  Birnbaum m,,Entscheidungsbaum m  Erdbeerbaum m  Feigenbaum m  Gummibaum m  Johannisbrotbaum m  Kastanienbaum m,,Kirschbaum m  Laubbaum m  Maibaum m  Mandelbaum m  Nadelbaum m  Obstbaum m,,Orangenbaum m  Pfirsichbaum m  Pflaumbaum m  Stammbaum m  Suchbaum m  Tannenbaum m  Weihnachtsbaum m
