0,1,2,3,4
,,,,
infinitive,dootsteken,,,
,main clause,subordinate clause,,
indicative,present,preterite,present,preterite
1st person singular,steek doot,steek doot,dootsteek,dootsteek
2nd person singular,stickst doot,steekst doot,dootstickst,dootsteekst
3rd person singular,stickt doot,steek doot,dootstickt,dootsteek
plural,steekt doot,steken doot,dootsteekt,dootsteken
imperative,present,—,—,—
singular,steek doot,,,
plural,steekt doot,,,
participle,present,past,—,—
,dootsteken,dootsteken,,
,,,,
infinitive,dootsteken,,,
,main clause,subordinate clause,,
indicative,present,preterite,present,preterite
1st person singular,steek doot,stook doot,dootsteek,dootstook
2nd person singular,stickst doot,stookst doot,dootstickst,dootstookst
3rd person singular,stickt doot,stook doot,dootstickt,dootstook
plural,steekt doot,stoken doot,dootsteekt,dootstoken
imperative,present,—,—,—
singular,steek doot,,,
plural,steekt doot,,,
participle,present,past,—,—
,dootsteken,dootstaken,,
