0,1,2
,,
infinitive,drieten,
indicative,present,preterite
1st person singular,driet,driet
2nd person singular,drietst,drietst
3rd person singular,driet,driet
plural,driet,drieten
imperative,present,—
singular,driet,
plural,driet,
participle,present,past
,drieten,driet
Note: This conjugation is one of many; neither its grammar nor spelling apply to all dialects.,,
,,
infinitive,drieten,
indicative,present,preterite
1st person singular,driet,dreet
2nd person singular,drittst,dreetst
3rd person singular,dritt,dreet
plural,driet,dreten
imperative,present,—
singular,driet,
plural,driet,
participle,present,past
,drieten,dreten
Note: This conjugation is one of many; neither its grammar nor spelling apply to all dialects.,,
