0,1,2,3,4,5
audio,,(file),,,
infinitive,fragen,,,,
present participle,fragend,,,,
past participle,gefragt,,,,
auxiliary,haben,,,,
,indicative,,subjunctive,,
present,ich frage,wir fragen,i,ich frage,wir fragen
du fragst,ihr fragt,du fragest,ihr fraget,,
er fragt,sie fragen,er frage,sie fragen,,
,,,,,
preterite,ich fragte,wir fragten,ii,ich fragte,wir fragten
du fragtest,ihr fragtet,du fragtest,ihr fragtet,,
er fragte,sie fragten,er fragte,sie fragten,,
,,,,,
imperative,frag (du)frage (du),fragt (ihr),,,
perfect,,,,,
indicative,ich habe gefragt,wir haben gefragt,subjunctive,ich habe gefragt,wir haben gefragt
du hast gefragt,ihr habt gefragt,du habest gefragt,ihr habet gefragt,,
er hat gefragt,sie haben gefragt,er habe gefragt,sie haben gefragt,,
pluperfect,,,,,
indicative,ich hatte gefragt,wir hatten gefragt,subjunctive,ich hätte gefragt,wir hätten gefragt
du hattest gefragt,ihr hattet gefragt,du hättest gefragt,ihr hättet gefragt,,
er hatte gefragt,sie hatten gefragt,er hätte gefragt,sie hätten gefragt,,
future i,,,,,
infinitive,fragen werden,subjunctive i,ich werde fragen,wir werden fragen,
du werdest fragen,ihr werdet fragen,,,,
er werde fragen,sie werden fragen,,,,
,,,,,
indicative,ich werde fragen,wir werden fragen,subjunctive ii,ich würde fragen,wir würden fragen
du wirst fragen,ihr werdet fragen,du würdest fragen,ihr würdet fragen,,
er wird fragen,sie werden fragen,er würde fragen,sie würden fragen,,
future ii,,,,,
infinitive,gefragt haben werden,subjunctive i,ich werde gefragt haben,wir werden gefragt haben,
du werdest gefragt haben,ihr werdet gefragt haben,,,,
er werde gefragt haben,sie werden gefragt haben,,,,
,,,,,
indicative,ich werde gefragt haben,wir werden gefragt haben,subjunctive ii,ich würde gefragt haben,wir würden gefragt haben
du wirst gefragt haben,ihr werdet gefragt haben,du würdest gefragt haben,ihr würdet gefragt haben,,
er wird gefragt haben,sie werden gefragt haben,er würde gefragt haben,sie würden gefragt haben,,
infinitive,fragen,,,,
present participle,fragend,,,,
past participle,gefragt,,,,
auxiliary,haben,,,,
,indicative,,subjunctive,,
present,ich frage,wir fragen,i,ich frage,wir fragen
du frägst,ihr fragt,du fragest,ihr fraget,,
er frägt,sie fragen,er frage,sie fragen,,
,,,,,
preterite,ich frug,wir frugen,ii,ich früge,wir frügen
du frugst,ihr frugt,du frügest,ihr früget,,
er frug,sie frugen,er früge,sie frügen,,
,,,,,
imperative,frag (du)frage (du),fragt (ihr),,,
perfect,,,,,
indicative,ich habe gefragt,wir haben gefragt,subjunctive,ich habe gefragt,wir haben gefragt
du hast gefragt,ihr habt gefragt,du habest gefragt,ihr habet gefragt,,
er hat gefragt,sie haben gefragt,er habe gefragt,sie haben gefragt,,
pluperfect,,,,,
indicative,ich hatte gefragt,wir hatten gefragt,subjunctive,ich hätte gefragt,wir hätten gefragt
du hattest gefragt,ihr hattet gefragt,du hättest gefragt,ihr hättet gefragt,,
er hatte gefragt,sie hatten gefragt,er hätte gefragt,sie hätten gefragt,,
future i,,,,,
infinitive,fragen werden,subjunctive i,ich werde fragen,wir werden fragen,
du werdest fragen,ihr werdet fragen,,,,
er werde fragen,sie werden fragen,,,,
,,,,,
indicative,ich werde fragen,wir werden fragen,subjunctive ii,ich würde fragen,wir würden fragen
du wirst fragen,ihr werdet fragen,du würdest fragen,ihr würdet fragen,,
er wird fragen,sie werden fragen,er würde fragen,sie würden fragen,,
future ii,,,,,
infinitive,gefragt haben werden,subjunctive i,ich werde gefragt haben,wir werden gefragt haben,
du werdest gefragt haben,ihr werdet gefragt haben,,,,
er werde gefragt haben,sie werden gefragt haben,,,,
,,,,,
indicative,ich werde gefragt haben,wir werden gefragt haben,subjunctive ii,ich würde gefragt haben,wir würden gefragt haben
du wirst gefragt haben,ihr werdet gefragt haben,du würdest gefragt haben,ihr würdet gefragt haben,,
er wird gefragt haben,sie werden gefragt haben,er würde gefragt haben,sie würden gefragt haben,,
abfragen  anfragen  ausfragen  befragen  erfragen,,Frage  Frager  fragwürdig  hinterfragen,,nachfragen  überfragt  Umfrage  umfragen,
