0,1,2,3
A-stem,,,
Strong (indefinite) inflection,,,
Singular,Masculine,Feminine,Neuter
Nominative,𐍈𐌴𐌹𐍄𐍃ƕeits,𐍈𐌴𐌹𐍄𐌰ƕeita,"𐍈𐌴𐌹𐍄, 𐍈𐌴𐌹𐍄𐌰𐍄𐌰ƕeit, ƕeitata"
Accusative,𐍈𐌴𐌹𐍄𐌰𐌽𐌰ƕeitana,𐍈𐌴𐌹𐍄𐌰ƕeita,"𐍈𐌴𐌹𐍄, 𐍈𐌴𐌹𐍄𐌰𐍄𐌰ƕeit, ƕeitata"
Genitive,𐍈𐌴𐌹𐍄𐌹𐍃ƕeitis,𐍈𐌴𐌹𐍄𐌰𐌹𐌶𐍉𐍃ƕeitaizōs,𐍈𐌴𐌹𐍄𐌹𐍃ƕeitis
Dative,𐍈𐌴𐌹𐍄𐌰𐌼𐌼𐌰ƕeitamma,𐍈𐌴𐌹𐍄𐌰𐌹ƕeitai,𐍈𐌴𐌹𐍄𐌰𐌼𐌼𐌰ƕeitamma
Plural,Masculine,Feminine,Neuter
Nominative,𐍈𐌴𐌹𐍄𐌰𐌹ƕeitai,𐍈𐌴𐌹𐍄𐍉𐍃ƕeitōs,𐍈𐌴𐌹𐍄𐌰ƕeita
Accusative,𐍈𐌴𐌹𐍄𐌰𐌽𐍃ƕeitans,𐍈𐌴𐌹𐍄𐍉𐍃ƕeitōs,𐍈𐌴𐌹𐍄𐌰ƕeita
Genitive,𐍈𐌴𐌹𐍄𐌰𐌹𐌶𐌴ƕeitaizē,𐍈𐌴𐌹𐍄𐌰𐌹𐌶𐍉ƕeitaizō,𐍈𐌴𐌹𐍄𐌰𐌹𐌶𐌴ƕeitaizē
Dative,𐍈𐌴𐌹𐍄𐌰𐌹𐌼ƕeitaim,𐍈𐌴𐌹𐍄𐌰𐌹𐌼ƕeitaim,𐍈𐌴𐌹𐍄𐌰𐌹𐌼ƕeitaim
Weak (definite) inflection,,,
Singular,Masculine,Feminine,Neuter
Nominative,𐍈𐌴𐌹𐍄𐌰ƕeita,𐍈𐌴𐌹𐍄𐍉ƕeitō,𐍈𐌴𐌹𐍄𐍉ƕeitō
Accusative,𐍈𐌴𐌹𐍄𐌰𐌽ƕeitan,𐍈𐌴𐌹𐍄𐍉𐌽ƕeitōn,𐍈𐌴𐌹𐍄𐍉ƕeitō
Genitive,𐍈𐌴𐌹𐍄𐌹𐌽𐍃ƕeitins,𐍈𐌴𐌹𐍄𐍉𐌽𐍃ƕeitōns,𐍈𐌴𐌹𐍄𐌹𐌽𐍃ƕeitins
Dative,𐍈𐌴𐌹𐍄𐌹𐌽ƕeitin,𐍈𐌴𐌹𐍄𐍉𐌽ƕeitōn,𐍈𐌴𐌹𐍄𐌹𐌽ƕeitin
Plural,Masculine,Feminine,Neuter
Nominative,𐍈𐌴𐌹𐍄𐌰𐌽𐍃ƕeitans,𐍈𐌴𐌹𐍄𐍉𐌽𐍃ƕeitōns,𐍈𐌴𐌹𐍄𐍉𐌽𐌰ƕeitōna
Accusative,𐍈𐌴𐌹𐍄𐌰𐌽𐍃ƕeitans,𐍈𐌴𐌹𐍄𐍉𐌽𐍃ƕeitōns,𐍈𐌴𐌹𐍄𐍉𐌽𐌰ƕeitōna
Genitive,𐍈𐌴𐌹𐍄𐌰𐌽𐌴ƕeitanē,𐍈𐌴𐌹𐍄𐍉𐌽𐍉ƕeitōnō,𐍈𐌴𐌹𐍄𐌰𐌽𐌴ƕeitanē
Dative,𐍈𐌴𐌹𐍄𐌰𐌼ƕeitam,𐍈𐌴𐌹𐍄𐍉𐌼ƕeitōm,𐍈𐌴𐌹𐍄𐌰𐌼ƕeitam
