0,1,2,3,4,5,6
Root,,,,,,
א־כ־ל,,,,,,
Number,Isolated forms,With possessive pronouns,,,,
State,Form,Person,singular,plural,,
m.,f.,m.,f.,,,
singular,indefinite,מַאֲכָל,first,מַאֲכָלִי,מַאֲכָלֵנוּ,
definite,הַמַּאֲכָל,second,מַאֲכָלְךָ,מַאֲכָלֵךְ,מַאֲכַלְכֶם,מַאֲכַלְכֶן
construct,מַאֲכַל־,third,מַאֲכָלוֹ,מַאֲכָלָהּ,מַאֲכָלָם,מַאֲכָלָן
plural,indefinite,מַאֲכָלִים,first,מאכליי \ מַאֲכָלַי,מַאֲכָלֵינוּ,
definite,הַמַּאֲכָלִים,second,מַאֲכָלֶיךָ,מאכלייך \ מַאֲכָלַיִךְ,מַאַכְלֵיכֶם,מַאַכְלֵיכֶן
construct,מַאַכְלֵי־,third,מַאֲכָלָיו,מַאֲכָלֶיהָ,מַאַכְלֵיהֶם,מַאַכְלֵיהֶן
plural,indefinite,מַאֲכָלוֹת,first,מאכלותיי \ מַאַכְלוֹתַי,מַאַכְלוֹתֵינוּ,
definite,הַמַּאֲכָלוֹת,second,מַאַכְלוֹתֶיךָ,מאכלותייך \ מַאַכְלוֹתַיִךְ,מַאַכְלוֹתֵיכֶם,מַאַכְלוֹתֵיכֶן
construct,מַאַכְלוֹת־,third,מַאַכְלוֹתָיו,מַאַכְלוֹתֶיהָ,מַאַכְלוֹתֵיהֶם,מַאַכְלוֹתֵיהֶן
