0,1,2
Root,,
א־ה־ב,,
Present,עברית,Romanization
Infinitive,לֵאֵהוֹב,le'ehov
masc. sg.,אוֹהֵב,ohev
fem. sg,אוֹהֵבֵת,ohevet
masc. pl.,אוֹהַבִים,ohavim
fem. pl.,אוֹהַבוֹת,ohavot
Past,עברית,Romanization
1st person sg.,אַהַבתִי,ahavti
2nd person sg. masc.,אַהַבת,ahavt
2nd person sg. fem.,אַהַבתַ,ahavta
3rd person sg. masc.,אַהַב,ahav
3rd person sg. fem.,אַהַבַה,ahava
1st person pl.,אַהַבנוּ,ahavnu
2nd person pl. masc.,אַהַבתֵם,ahavtem
2nd person pl. fem.,אַהַבתֵן,ahavten
3rd person pl.,אַהַבוּ,ahavu
