0,1,2,3,4,5
Conjugation of giro,,,,,
,1st,2nd,3rd,,
ham,ham log,tum,tum log,uu,uu log
Simple,,,,,
Present,giri,giro,gire,,
Past,giraa,giraa,giris,girin*,
Future,giregaa,giregaa,giri,giri*,
Continuous,,,,,
Present,girtaa hae,girtaa hae,gire hae,,
Past,girtaa,girtaa,girat rahis,girat rahin*,
Future,girte rahegaa,girte rahegaa,girte rahii,girte rahii*,
Perfect,,,,,
Present,giraa hae,giraa hae,giris hae,girin hae*,
Present,giraa rahaa,giraa rahaa,gire rahis,gire rahin*,
Future,gir lia hogaa,gir lia hogaa,gir lie hoi,gir lia hoi*,
"*For the form uu logan ""they""",,,,,
