0,1,2,3,4,5
"Inflection (plural in -ok, back harmony)",,,,,
,singular,plural,,,
nominative,paraszt,parasztok,,,
accusative,parasztot,parasztokat,,,
dative,parasztnak,parasztoknak,,,
instrumental,paraszttal,parasztokkal,,,
causal-final,parasztért,parasztokért,,,
translative,paraszttá,parasztokká,,,
terminative,parasztig,parasztokig,,,
essive-formal,parasztként,parasztokként,,,
essive-modal,—,—,,,
inessive,parasztban,parasztokban,,,
superessive,paraszton,parasztokon,,,
adessive,parasztnál,parasztoknál,,,
illative,parasztba,parasztokba,,,
sublative,parasztra,parasztokra,,,
allative,paraszthoz,parasztokhoz,,,
elative,parasztból,parasztokból,,,
delative,parasztról,parasztokról,,,
ablative,paraszttól,parasztoktól,,,
Possessive forms of paraszt,,,,,
possessor,single possession,multiple possessions,,,
1st person sing.,parasztom,parasztjaim,,,
2nd person sing.,parasztod,parasztjaid,,,
3rd person sing.,parasztja,parasztjai,,,
1st person plural,parasztunk,parasztjaink,,,
2nd person plural,parasztotok,parasztjaitok,,,
3rd person plural,parasztjuk,parasztjaik,,,
"Chess pieces in Hungarian · sakkfigurák, sakkbábuk (layout · text)",,,,,
,,,,,
király,"vezér, királynő","bástya, torony",futó,"huszár, ló","gyalog, paraszt"
