0,1,2
Audio,,(file)
"Inflection (stem in -e-, front rounded harmony)",,
,singular,plural
nominative,bennszülött,bennszülöttek
accusative,bennszülöttet,bennszülötteket
dative,bennszülöttnek,bennszülötteknek
instrumental,bennszülöttel,bennszülöttekkel
causal-final,bennszülöttért,bennszülöttekért
translative,bennszülötté,bennszülöttekké
terminative,bennszülöttig,bennszülöttekig
essive-formal,bennszülöttként,bennszülöttekként
essive-modal,—,—
inessive,bennszülöttben,bennszülöttekben
superessive,bennszülöttön,bennszülötteken
adessive,bennszülöttnél,bennszülötteknél
illative,bennszülöttbe,bennszülöttekbe
sublative,bennszülöttre,bennszülöttekre
allative,bennszülötthöz,bennszülöttekhez
elative,bennszülöttből,bennszülöttekből
delative,bennszülöttről,bennszülöttekről
ablative,bennszülöttől,bennszülöttektől
Possessive forms of bennszülött,,
possessor,single possession,multiple possessions
1st person sing.,bennszülöttem,bennszülötteim
2nd person sing.,bennszülötted,bennszülötteid
3rd person sing.,bennszülötte,bennszülöttei
1st person plural,bennszülöttünk,bennszülötteink
2nd person plural,bennszülöttetek,bennszülötteitek
3rd person plural,bennszülöttük,bennszülötteik
Possessive forms of bennszülött,,
possessor,single possession,multiple possessions
1st person sing.,bennszülöttem,bennszülöttjeim
2nd person sing.,bennszülötted,bennszülöttjeid
3rd person sing.,bennszülöttje,bennszülöttjei
1st person plural,bennszülöttünk,bennszülöttjeink
2nd person plural,bennszülöttetek,bennszülöttjeitek
3rd person plural,bennszülöttjük,bennszülöttjeik
