0,1,2
Audio,,(file)
"Inflection (stem in -a-, back harmony)",,
,singular,plural
nominative,foglalt,foglaltak
accusative,foglaltat,foglaltakat
dative,foglaltnak,foglaltaknak
instrumental,foglalttal,foglaltakkal
causal-final,foglaltért,foglaltakért
translative,foglalttá,foglaltakká
terminative,foglaltig,foglaltakig
essive-formal,foglaltként,foglaltakként
essive-modal,—,—
inessive,foglaltban,foglaltakban
superessive,foglalton,foglaltakon
adessive,foglaltnál,foglaltaknál
illative,foglaltba,foglaltakba
sublative,foglaltra,foglaltakra
allative,foglalthoz,foglaltakhoz
elative,foglaltból,foglaltakból
delative,foglaltról,foglaltakról
ablative,foglalttól,foglaltaktól
