0,1,2,3
singular,masculine,feminine,neuter
nominative,giftur,gift,gift
accusative,giftan,gifta,gift
dative,giftum,giftri,giftu
genitive,gifts,giftrar,gifts
plural,masculine,feminine,neuter
nominative,giftir,giftar,gift
accusative,gifta,giftar,gift
dative,giftum,giftum,giftum
genitive,giftra,giftra,giftra
singular,masculine,feminine,neuter
nominative,gifti,gifta,gifta
accusative,gifta,giftu,gifta
dative,gifta,giftu,gifta
genitive,gifta,giftu,gifta
plural,masculine,feminine,neuter
nominative,giftu,giftu,giftu
accusative,giftu,giftu,giftu
dative,giftu,giftu,giftu
genitive,giftu,giftu,giftu
