0,1,2,3,4
singular,masculine,feminine,neuter,
nominative,glaður,glöð,glatt,
accusative,glaðan,glaða,glatt,
dative,glöðum,glaðri,glöðu,
genitive,glaðs,glaðrar,glaðs,
plural,masculine,feminine,neuter,
nominative,glaðir,glaðar,glöð,
accusative,glaða,glaðar,glöð,
dative,glöðum,glöðum,glöðum,
genitive,glaðra,glaðra,glaðra,
singular,masculine,feminine,neuter,
nominative,glaði,glaða,glaða,
accusative,glaða,glöðu,glaða,
dative,glaða,glöðu,glaða,
genitive,glaða,glöðu,glaða,
plural,masculine,feminine,neuter,
nominative,glöðu,glöðu,glöðu,
accusative,glöðu,glöðu,glöðu,
dative,glöðu,glöðu,glöðu,
genitive,glöðu,glöðu,glöðu,
singular,masculine,feminine,neuter,
nominative,glaðari,glaðari,glaðara,
accusative,glaðari,glaðari,glaðara,
dative,glaðari,glaðari,glaðara,
genitive,glaðari,glaðari,glaðara,
plural,masculine,feminine,neuter,
nominative,glaðari,glaðari,glaðari,
accusative,glaðari,glaðari,glaðari,
dative,glaðari,glaðari,glaðari,
genitive,glaðari,glaðari,glaðari,
singular,masculine,feminine,neuter,
nominative,glaðastur,glöðust,glaðast,
accusative,glaðastan,glaðasta,glaðast,
dative,glöðustum,glaðastri,glöðustu,
genitive,glaðasts,glaðastrar,glaðasts,
plural,masculine,feminine,neuter,
nominative,glaðastir,glaðastar,glöðust,
accusative,glaðasta,glaðastar,glöðust,
dative,glöðustum,glöðustum,glöðustum,
genitive,glaðastra,glaðastra,glaðastra,
singular,masculine,feminine,neuter,
nominative,glaðasti,glaðasta,glaðasta,
accusative,glaðasta,glöðustu,glaðasta,
dative,glaðasta,glöðustu,glaðasta,
genitive,glaðasta,glöðustu,glaðasta,
plural,masculine,feminine,neuter,
nominative,glöðustu,glöðustu,glöðustu,
accusative,glöðustu,glöðustu,glöðustu,
dative,glöðustu,glöðustu,glöðustu,
genitive,glöðustu,glöðustu,glöðustu,
m-s1,singular,plural,,
,indefinite,definite,indefinite,definite
nominative,glaður,glaðurinn,glaðar,glaðarnir
accusative,glað,glaðinn,glaða,glaðana
dative,glað,glaðnum,glöðum,glöðunum
genitive,glaðs,glaðsins,glaða,glaðanna
