0,1,2,3,4,5,6
infinitive (nafnháttur),að deila,,,,,
supine (sagnbót),deilt,,,,,
present participle (lýsingarháttur nútíðar),deilandi,,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég deili,við deilum,present (nútíð),ég deili,við deilum,
þú deilir,þið deilið,þú deilir,þið deilið,,,
"hann, hún, það deilir","þeir, þær, þau deila","hann, hún, það deili","þeir, þær, þau deili",,,
,,,,,,
past (þátíð),ég deildi,við deildum,past (þátíð),ég deildi,við deildum,
þú deildir,þið deilduð,þú deildir,þið deilduð,,,
"hann, hún, það deildi","þeir, þær, þau deildu","hann, hún, það deildi","þeir, þær, þau deildu",,,
,,,,,,
imperative (boðháttur),deil (þú),deilið (þið),,,,
Forms with appended personal pronoun,,,,,,
deildu,deiliði *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
infinitive (nafnháttur),að deilast,,,,,
supine (sagnbót),deilst,,,,,
present participle (lýsingarháttur nútíðar),"deilandist ** ** the mediopassive present participle is extremely rare and normally not used; it is never used attributively or predicatively, only for explicatory subclauses",,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég deilist,við deilumst,present (nútíð),ég deilist,við deilumst,
þú deilist,þið deilist,þú deilist,þið deilist,,,
"hann, hún, það deilist","þeir, þær, þau deilast","hann, hún, það deilist","þeir, þær, þau deilist",,,
,,,,,,
past (þátíð),ég deildist,við deildumst,past (þátíð),ég deildist,við deildumst,
þú deildist,þið deildust,þú deildist,þið deildust,,,
"hann, hún, það deildist","þeir, þær, þau deildust","hann, hún, það deildist","þeir, þær, þau deildust",,,
,,,,,,
imperative (boðháttur),deilst (þú),deilist (þið),,,,
Forms with appended personal pronoun,,,,,,
deilstu,deilisti *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
strong declension (sterk beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),deildur,deild,deilt,deildir,deildar,deild
accusative (þolfall),deildan,deilda,deilt,deilda,deildar,deild
dative (þágufall),deildum,deildri,deildu,deildum,deildum,deildum
genitive (eignarfall),deilds,deildrar,deilds,deildra,deildra,deildra
,,,,,,
weak declension (veik beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),deildi,deilda,deilda,deildu,deildu,deildu
accusative (þolfall),deilda,deildu,deilda,deildu,deildu,deildu
dative (þágufall),deilda,deildu,deilda,deildu,deildu,deildu
genitive (eignarfall),deilda,deildu,deilda,deildu,deildu,deildu
deila með  deila um keisarans skegg,,deiling  deila (noun),,,,
f-w1,singular,,,,,
,indefinite,definite,,,,
nominative,deila,deilan,,,,
accusative,deilu,deiluna,,,,
dative,deilu,deilunni,,,,
genitive,deilu,deilunnar,,,,
