0,1,2,3,4,5,6,7,8,9
,singular,plural,relative,autonomous,,,,,
first,second,third,first,second,third,,,,
indicative,present,réadaím,réadaíonn tú; réadaír†,"réadaíonn sé, sí",réadaímid; réadaíonn muid,réadaíonn sibh,réadaíonn siad; réadaíd†,a réadaíonn; a réadaíos /a réadaíonn*; a réadaíos*,réadaítear
past,réadaigh mé; réadaíos,réadaigh tú; réadaís,"réadaigh sé, sí",réadaíomar; réadaigh muid,réadaigh sibh; réadaíobhair,réadaigh siad; réadaíodar,a réadaigh /ar réadaigh*,réadaíodh,
past habitual,réadaínn,réadaíteá,"réadaíodh sé, sí",réadaímis; réadaíodh muid,réadaíodh sibh,réadaídís; réadaíodh siad,a réadaíodh /ar réadaíodh*,réadaítí,
future,réadóidh mé; réadód; réadóchaidh mé†,réadóidh tú; réadóir†; réadóchaidh tú†,"réadóidh sé, sí; réadóchaidh sé, sí†",réadóimid; réadóidh muid; réadóchaimid†; réadóchaidh muid†,réadóidh sibh; réadóchaidh sibh†,réadóidh siad; réadóid†; réadóchaidh siad†,a réadóidh; a réadós; a réadóchaidh†; a réadóchas† /a réadóidh*; a réadós*; a réadóchaidh*†; a réadóchas*†,réadófar; réadóchar†,
conditional,réadóinn; réadóchainn†,réadófá; réadóchthá†,"réadódh sé, sí; réadóchadh sé, sí†",réadóimis; réadódh muid; réadóchaimis†; réadóchadh muid†,réadódh sibh; réadóchadh sibh†,réadóidís; réadódh siad; réadóchadh siad†,a réadódh; a réadóchadh† /ar réadódh*; ar réadóchadh*†,réadófaí; réadóchthaí†,
subjunctive,present,go réadaí mé; go réadaíod†,go réadaí tú; go réadaír†,"go réadaí sé, sí",go réadaímid; go réadaí muid,go réadaí sibh,go réadaí siad; go réadaíd†,—,go réadaítear
past,dá réadaínn,dá réadaíteá,"dá réadaíodh sé, sí",dá réadaímis; dá réadaíodh muid,dá réadaíodh sibh,dá réadaídís; dá réadaíodh siad,—,dá réadaítí,
imperative,réadaím,réadaigh,"réadaíodh sé, sí",réadaímis,réadaígí;réadaídh†,réadaídís,—,réadaítear,
verbal noun,réadú,,,,,,,,
past participle,réadaithe,,,,,,,,
