0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,,,,,,,,,,
Nominative,ADJ;NOM;SG;MASC,ADJ;NOM+VOC;SG;FEM,ADJ;NOM;PL,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,ADJ;VOC+GEN;SG;MASV,ADJ;VOC;PL,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,ADJ;GEN;SG;FEM,ADJ;GEN;PL;STRONG,ADJ;GEN;PL;WEAK,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,ADJ;DAT;SG;MASC,ADJ;DAT;SG;FEM,ADJ;DAT;PL,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative,ADJ;CMPR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superlative,ADJ;SPRL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms: Case Singular Plural  Nominative  fireannach  fireannaigh  Vocative  a fhireannaigh  a fhireannacha  Genitive  fireannaigh  fireannach  Dative  fireannach  fireannaigh,Case,Singular,Plural,Nominative,fireannach,fireannaigh,Vocative,a fhireannaigh,a fhireannacha,Genitive,fireannaigh,fireannach,Dative,fireannach,fireannaigh,Forms with the definite article: Case Singular Plural  Nominative  an fireannach  na fireannaigh  Genitive  an fhireannaigh  na bhfireannach  Dative  leis an bhfireannach don fhireannach  leis na fireannaigh,Case,Singular,Plural,Nominative,an fireannach,na fireannaigh,Genitive,an fhireannaigh,na bhfireannach,Dative,leis an bhfireannach don fhireannach,leis na fireannaigh
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fireannach,fireannaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhireannaigh,a fhireannacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fireannaigh,fireannach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fireannach,fireannaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fireannach,na fireannaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fhireannaigh,na bhfireannach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfireannach don fhireannach,leis na fireannaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fireannach,fireannaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhireannaigh,a fhireannacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fireannaigh,fireannach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fireannach,fireannaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fireannach,na fireannaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fhireannaigh,na bhfireannach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfireannach don fhireannach,leis na fireannaigh,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
fireannach,fhireannach,bhfireannach,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
