0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  dearadh  Vocative  a dhearadh  Genitive  deartha  Dative  dearadh,Case,Singular,Nominative,dearadh,Vocative,a dhearadh,Genitive,deartha,Dative,dearadh,Forms with the definite article Case Singular  Nominative  an dearadh  Genitive  an deartha  Dative  leis an dearadh don dearadh,Case,Singular,Nominative,an dearadh,Genitive,an deartha,Dative,leis an dearadh don dearadh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,dearadh,,,,,,,,,,,,,,,,,,
Vocative,a dhearadh,,,,,,,,,,,,,,,,,,
Genitive,deartha,,,,,,,,,,,,,,,,,,
Dative,dearadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an dearadh,,,,,,,,,,,,,,,,,,
Genitive,an deartha,,,,,,,,,,,,,,,,,,
Dative,leis an dearadh don dearadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,dearadh,,,,,,,,,,,,,,,,,,
Vocative,a dhearadh,,,,,,,,,,,,,,,,,,
Genitive,deartha,,,,,,,,,,,,,,,,,,
Dative,dearadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an dearadh,,,,,,,,,,,,,,,,,,
Genitive,an deartha,,,,,,,,,,,,,,,,,,
Dative,leis an dearadh don dearadh,,,,,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  dearadh  Vocative  a dhearaidh  Genitive  dearaidh  Dative  dearadh,Case,Singular,Nominative,dearadh,Vocative,a dhearaidh,Genitive,dearaidh,Dative,dearadh,Forms with the definite article: Case Singular  Nominative  an dearadh  Genitive  an dearaidh  Dative  leis an dearadh don dearadh,Case,Singular,Nominative,an dearadh,Genitive,an dearaidh,Dative,leis an dearadh don dearadh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,dearadh,,,,,,,,,,,,,,,,,,
Vocative,a dhearaidh,,,,,,,,,,,,,,,,,,
Genitive,dearaidh,,,,,,,,,,,,,,,,,,
Dative,dearadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an dearadh,,,,,,,,,,,,,,,,,,
Genitive,an dearaidh,,,,,,,,,,,,,,,,,,
Dative,leis an dearadh don dearadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,dearadh,,,,,,,,,,,,,,,,,,
Vocative,a dhearaidh,,,,,,,,,,,,,,,,,,
Genitive,dearaidh,,,,,,,,,,,,,,,,,,
Dative,dearadh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an dearadh,,,,,,,,,,,,,,,,,,
Genitive,an dearaidh,,,,,,,,,,,,,,,,,,
Dative,leis an dearadh don dearadh,,,,,,,,,,,,,,,,,,
