0,1,2,3,4,5,6,7,8,9
,singular,plural,relative,autonomous,,,,,
first,second,third,first,second,third,,,,
indicative,present,ithim,itheann tú; ithir†,"itheann sé, sí",ithimid; itheann muid,itheann sibh,itheann siad; ithid†,a itheann; a itheas /a n-itheann*; a n-itheas*,itear
past,d’ith mé; d’itheas /ith mé‡; itheas‡,d’ith tú; d’ithis /ith tú‡; ithis‡,"d’ith sé, sí /ith sé, sí‡",d’itheamar; d’ith muid /itheamar‡; ith muid‡,d’ith sibh; d’itheabhair /ith sibh‡; itheabhair‡,d’ith siad; d’itheadar /ith siad‡; itheadar‡,a d’ith / ar ith,itheadh; hitheadh†,
past habitual,d’ithinn /ithinn‡,d’iteá /iteá‡,"d’itheadh sé, sí /itheadh sé, sí‡",d’ithimis; d’itheadh muid /ithimis‡; itheadh muid‡,d’itheadh sibh /itheadh sibh‡,d’ithidís; d’itheadh siad /ithidís‡; itheadh siad‡,a d’itheadh /ar itheadh‡,d’ití /ití‡,
future,íosfaidh mé; íosfad,íosfaidh tú; íosfair†,"íosfaidh sé, sí",íosfaimid; íosfaidh muid,íosfaidh sibh,íosfaidh siad; íosfaid†,"a íosfaidh, a íosfas /a n-íosfaidh*, a n-íosfas*",íosfar,
conditional,d’íosfainn /íosfainn‡,d’íosfá /íosfá‡,"d’íosfadh sé, sí /íosfadh sé, sí‡",d’íosfaimis; d’íosfadh muid /íosfaimis‡; íosfadh muid‡,d’íosfadh sibh /íosfadh sibh‡,d’íosfaidís; d’íosfadh siad /íosfaidís‡; íosfadh siad‡,a d’íosfadh /ar íosfadh*,d’íosfaí /íosfaí‡,
subjunctive,present,go n-ithe mé; go n-ithead†,go n-ithe tú; go n-ithir†,"go n-ithe sé, sí",go n-ithimid; go n-ithe muid,go n-ithe sibh,go n-ithe siad; go n-ithid†,—,go n-itear
past,dá n-ithinn,dá n-iteá,"dá n-itheadh sé, sí",dá n-ithimis; dá n-itheadh muid,dá n-itheadh sibh,dá n-ithidís; dá n-itheadh siad,—,dá n-ití,
imperative,ithim,ith,"itheadh sé, sí",ithimis,ithigí;ithidh†,ithidís,—,itear,
verbal noun,ithe,,,,,,,,
past participle,ite,,,,,,,,
,singular,plural,relative,autonomous,,,,,
first,second,third,first,second,third,,,,
past,duas,duais,"duaidh sé, sí",duamair,duabhair,duadar,a duaidh,duadh,
Irish mutation,,,,,,,,,
Radical,Eclipsis,with h-prothesis,with t-prothesis,,,,,,
ith,n-ith,hith,t-ith,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,
