0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms Case Singular Plural  Nominative  gearradh  gearrthacha  Vocative  a ghearradh  a ghearrthacha  Genitive  gearrtha  gearrthacha  Dative  gearradh  gearrthacha,Case,Singular,Plural,Nominative,gearradh,gearrthacha,Vocative,a ghearradh,a ghearrthacha,Genitive,gearrtha,gearrthacha,Dative,gearradh,gearrthacha,Forms with the definite article Case Singular Plural  Nominative  an gearradh  na gearrthacha  Genitive  an ghearrtha  na ngearrthacha  Dative  leis an ngearradh don ghearradh  leis na gearrthacha,Case,Singular,Plural,Nominative,an gearradh,na gearrthacha,Genitive,an ghearrtha,na ngearrthacha,Dative,leis an ngearradh don ghearradh,leis na gearrthacha
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gearradh,gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghearradh,a ghearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gearrtha,gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gearradh,gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an gearradh,na gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghearrtha,na ngearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngearradh don ghearradh,leis na gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gearradh,gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghearradh,a ghearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gearrtha,gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gearradh,gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an gearradh,na gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghearrtha,na ngearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngearradh don ghearradh,leis na gearrthacha,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms Case Singular Plural  Nominative  gearradh  gearrthaíocha  Vocative  a ghearradh  a ghearrthaíocha  Genitive  gearrtha  gearrthaíocha  Dative  gearradh  gearrthaíocha,Case,Singular,Plural,Nominative,gearradh,gearrthaíocha,Vocative,a ghearradh,a ghearrthaíocha,Genitive,gearrtha,gearrthaíocha,Dative,gearradh,gearrthaíocha,Forms with the definite article Case Singular Plural  Nominative  an gearradh  na gearrthaíocha  Genitive  an ghearrtha  na ngearrthaíocha  Dative  leis an ngearradh don ghearradh  leis na gearrthaíocha,Case,Singular,Plural,Nominative,an gearradh,na gearrthaíocha,Genitive,an ghearrtha,na ngearrthaíocha,Dative,leis an ngearradh don ghearradh,leis na gearrthaíocha
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gearradh,gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghearradh,a ghearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gearrtha,gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gearradh,gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an gearradh,na gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghearrtha,na ngearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngearradh don ghearradh,leis na gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,gearradh,gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghearradh,a ghearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,gearrtha,gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,gearradh,gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an gearradh,na gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an ghearrtha,na ngearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngearradh don ghearradh,leis na gearrthaíocha,,,,,,,,,,,,,,,,,,,,,,,,,,
"bheith sa ghearradh díobh ‎(“to be discarded, on the shelf”)  gearradh brád ‎(“torment”)  gearradh coinsiasa ‎(“twinge of conscience”)  gearradh díobh ‎(“discards”)",,"gearradh dubh (na bliana, na Nollag) ‎(“(short dark days in the) dead of winter”)  gearradh fiacla ‎(“teething”)  gearradh gad ‎(“nagging”)  gearradh gionach ‎(“pangs of hunger”)",,"gearradh siúil ‎(“fast rate of walking, of travelling”)  gearradh toite ‎(“hearth-tax”)  meánghearradh m ‎(“medial section”)",,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
gearradh,ghearradh,ngearradh,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
