0,1,2,3,4,5,6
Audio,,(file),,,,
infinitive,dare,,,,,
auxiliary verb,avere,gerund,dando,,,
present participle,dante,past participle,dato,,,
person,singular,plural,,,,
first,second,third,first,second,third,
indicative,io,tu,"lui/lei, esso/essa",noi,voi,"loro, essi/esse"
present,do,dai,dà,diamo,date,danno
imperfect,davo,davi,dava,davamo,davate,davano
past historic,"diedi, detti",desti,"diede, dette",demmo,deste,"diedero, dettero"
future,darò,darai,darà,daremo,darete,daranno
conditional,io,tu,"lui/lei, esso/essa",noi,voi,"loro, essi/esse"
present,darei,daresti,darebbe,daremmo,dareste,darebbero
subjunctive,che io,che tu,"che lui/che lei, che esso/che essa",che noi,che voi,"che loro, che essi/che esse"
present,dia,dia,dia,diamo,diate,diano
imperfect,dessi,dessi,desse,dessimo,deste,dessero
imperative,—,tu,Lei,noi,voi,Loro
,"dà, da', dai, non dare",dia,diamo,date,diano,
dare alla luce  dare gas  dare il benservito  dare il la  dare per scontato  dare rifugio,,dare spettacolo  dare un'occhiata  dare un pugno  darsela  darsele,,darsi  data  dato  datore  ridare,,
