0,1,2,3,4,5,6,7
infinitive,essersi,,,,,,
gerund,essendosi,,,,,,
past participle,stato,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,,io,tu,lui/lei,noi,voi,loro
present,mi sono,ti sei,si è,ci siamo,vi siete,si sono,
imperfect (past progressive),mi ero,ti eri,si era,ci eravamo,vi eravate,si erano,
preterite (simple past),mi fui,ti fosti,si fu,ci fummo,vi foste,si furono,
future,mi sarò,ti sarai,si sarà,ci saremo,vi sarete,si saranno,
conditional,mi sarei,ti saresti,si sarebbe,ci saremmo,vi sareste,si sarebbero,
subjunctive,,che io,che tu,che lui/che lei,che noi,che voi,che loro
present,mi sia,ti sia,si sia,ci siamo,vi siate,si siano,
imperfect,mi fossi,ti fossi,si fosse,ci fossimo,vi foste,si fossero,
imperative,-,tu,lui/lei,noi,voi,loro,
,siiti,si sia,siamoci,siatevi,si siano,,
