0,1,2,3,4,5,6
PIE root,,,,,,
*deh₃-,,,,,,
Audio,,(file),,,,
infinitive,domandare,,,,,
auxiliary verb,avere,gerund,domandando,,,
present participle,domandante,past participle,domandato,,,
person,singular,plural,,,,
first,second,third,first,second,third,
indicative,io,tu,"lui/lei, esso/essa",noi,voi,"loro, essi/esse"
present,domando,domandi,domanda,domandiamo,domandate,domandano
imperfect,domandavo,domandavi,domandava,domandavamo,domandavate,domandavano
past historic,domandai,domandasti,domandò,domandammo,domandaste,domandarono
future,domanderò,domanderai,domanderà,domanderemo,domanderete,domanderanno
conditional,io,tu,"lui/lei, esso/essa",noi,voi,"loro, essi/esse"
present,domanderei,domanderesti,domanderebbe,domanderemmo,domandereste,domanderebbero
subjunctive,che io,che tu,"che lui/che lei, che esso/che essa",che noi,che voi,"che loro, che essi/che esse"
present,domandi,domandi,domandi,domandiamo,domandiate,domandino
imperfect,domandassi,domandassi,domandasse,domandassimo,domandaste,domandassero
imperative,—,tu,Lei,noi,voi,Loro
,"domanda, non domandare",domandi,domandiamo,domandate,domandino,
