0,1,2,3,4,5,6,7
"Conjugation of adulescentior (first conjugation, deponent)",,,,,,,
indicative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,adulēscentior,"adulēscentiāris, adulēscentiāre",adulēscentiātur,adulēscentiāmur,adulēscentiāminī,adulēscentiantur
imperfect,adulēscentiābar,"adulēscentiābāris, adulēscentiābāre",adulēscentiābātur,adulēscentiābāmur,adulēscentiābāminī,adulēscentiābantur,
future,adulēscentiābor,"adulēscentiāberis, adulēscentiābere",adulēscentiābitur,adulēscentiābimur,adulēscentiābiminī,adulēscentiābuntur,
perfect,adulēscentiātus + present active indicative of sum,,,,,,
pluperfect,adulēscentiātus + imperfect active indicative of sum,,,,,,
future perfect,adulēscentiātus + future active indicative of sum,,,,,,
subjunctive,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,adulēscentier,"adulēscentiēris, adulēscentiēre",adulēscentiētur,adulēscentiēmur,adulēscentiēminī,adulēscentientur
imperfect,adulēscentiārer,"adulēscentiārēris, adulēscentiārēre",adulēscentiārētur,adulēscentiārēmur,adulēscentiārēminī,adulēscentiārentur,
perfect,adulēscentiātus + present active subjunctive of sum,,,,,,
pluperfect,adulēscentiātus + imperfect active subjunctive of sum,,,,,,
imperative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,—,adulēscentiāre,—,—,adulēscentiāminī,—
future,—,adulēscentiātor,adulēscentiātor,—,—,adulēscentiantor,
non-finite forms,active,passive,,,,,
present,perfect,future,present,perfect,future,,
infinitives,adulēscentiārī,adulēscentiātus esse,adulēscentiātūrus esse,—,—,adulēscentiātum īrī,
participles,adulēscentiāns,adulēscentiātus,adulēscentiātūrus,—,—,adulēscentiandus,
verbal nouns,gerund,supine,,,,,
nominative,genitive,dative/ablative,accusative,accusative,ablative,,
adulēscentiārī,adulēscentiandī,adulēscentiandō,adulēscentiandum,adulēscentiātum,adulēscentiātū,,
Number,Singular,,Plural,,,,
Case / Gender,Masc./Fem.,Neuter,Masc./Fem.,Neuter,,,
nominative,adulēscēntior,adulēscēntius,,adulēscēntiōrēs,adulēscēntiōra,,
genitive,adulēscēntiōris,adulēscēntiōrum,,,,,
dative,adulēscēntiōrī,adulēscēntiōribus,,,,,
accusative,adulēscēntiōrem,adulēscēntius,adulēscēntiōrēs,adulēscēntiōra,,,
ablative,adulēscēntiōre,adulēscēntiōribus,,,,,
vocative,adulēscēntior,adulēscēntius,adulēscēntiōrēs,adulēscēntiōra,,,
