0,1,2,3
Case,Singular,Plural,
nominative,pluvia,pluviae,
genitive,pluviae,pluviārum,
dative,pluviae,pluviīs,
accusative,pluviam,pluviās,
ablative,pluviā,pluviīs,
vocative,pluvia,pluviae,
pluviālis  pluviāticus,,pluviātilis  pluviōsus,
"edit  Emilian: piôva  Esperanto: pluvo  Ido: pluvo  Interlingua: pluvia  Interlingue: pluvie  Italo-Dalmatian:  Corsican: pioghja  Dalmatian: pluaja  Istriot: piova, peiòva  Italian: pioggia, piova  Neapolitan: chioggia  Sicilian: chioggia, chiova, chioggi  Lombard: piöva  Navarro-Aragonese:  Aragonese: plevia, plebia  Old French: pluie  French: pluie  Haitian Creole: lapli  Gallo: pieil  Norman: plyie  Walloon: plouve  Old Leonese:  Asturian: lluvia, chuvia  Extremaduran: lluvia  Leonese: lluvia, chuvia  Mirandese: chuba  Old Portuguese: chovia, chuvia  Galician: choiva, chuvia  Portuguese: chuva, chuiva  Kabuverdianu: txuba  Old Provençal:  Catalan: pluja  Occitan: pluèja, ploja, pluèia, pluòja  Old Spanish: lluvia  Ladino: luvya (Latin spelling)  Spanish: lluvia  Piedmontese: pieuva  Proto-Romanian:  Aromanian: ploae, ploai  Romanian: ploaie  Rhaeto-Romance:  Friulian: ploie, ploe  Ladin: pievia  Romansch: plievgia, plievia, plövgia  Sardinian: pròia, proìda, pióida, próghia, proja  Venetian: pióva","Emilian: piôva  Esperanto: pluvo  Ido: pluvo  Interlingua: pluvia  Interlingue: pluvie  Italo-Dalmatian:  Corsican: pioghja  Dalmatian: pluaja  Istriot: piova, peiòva  Italian: pioggia, piova  Neapolitan: chioggia  Sicilian: chioggia, chiova, chioggi  Lombard: piöva  Navarro-Aragonese:  Aragonese: plevia, plebia  Old French: pluie  French: pluie  Haitian Creole: lapli  Gallo: pieil  Norman: plyie  Walloon: plouve",,"Old Leonese:  Asturian: lluvia, chuvia  Extremaduran: lluvia  Leonese: lluvia, chuvia  Mirandese: chuba  Old Portuguese: chovia, chuvia  Galician: choiva, chuvia  Portuguese: chuva, chuiva  Kabuverdianu: txuba  Old Provençal:  Catalan: pluja  Occitan: pluèja, ploja, pluèia, pluòja  Old Spanish: lluvia  Ladino: luvya (Latin spelling)  Spanish: lluvia  Piedmontese: pieuva  Proto-Romanian:  Aromanian: ploae, ploai  Romanian: ploaie  Rhaeto-Romance:  Friulian: ploie, ploe  Ladin: pievia  Romansch: plievgia, plievia, plövgia  Sardinian: pròia, proìda, pióida, próghia, proja  Venetian: pióva"
"Emilian: piôva  Esperanto: pluvo  Ido: pluvo  Interlingua: pluvia  Interlingue: pluvie  Italo-Dalmatian:  Corsican: pioghja  Dalmatian: pluaja  Istriot: piova, peiòva  Italian: pioggia, piova  Neapolitan: chioggia  Sicilian: chioggia, chiova, chioggi  Lombard: piöva  Navarro-Aragonese:  Aragonese: plevia, plebia  Old French: pluie  French: pluie  Haitian Creole: lapli  Gallo: pieil  Norman: plyie  Walloon: plouve",,"Old Leonese:  Asturian: lluvia, chuvia  Extremaduran: lluvia  Leonese: lluvia, chuvia  Mirandese: chuba  Old Portuguese: chovia, chuvia  Galician: choiva, chuvia  Portuguese: chuva, chuiva  Kabuverdianu: txuba  Old Provençal:  Catalan: pluja  Occitan: pluèja, ploja, pluèia, pluòja  Old Spanish: lluvia  Ladino: luvya (Latin spelling)  Spanish: lluvia  Piedmontese: pieuva  Proto-Romanian:  Aromanian: ploae, ploai  Romanian: ploaie  Rhaeto-Romance:  Friulian: ploie, ploe  Ladin: pievia  Romansch: plievgia, plievia, plövgia  Sardinian: pròia, proìda, pióida, próghia, proja  Venetian: pióva",
"Emilian: piôva  Esperanto: pluvo  Ido: pluvo  Interlingua: pluvia  Interlingue: pluvie  Italo-Dalmatian:  Corsican: pioghja  Dalmatian: pluaja  Istriot: piova, peiòva  Italian: pioggia, piova  Neapolitan: chioggia  Sicilian: chioggia, chiova, chioggi  Lombard: piöva  Navarro-Aragonese:  Aragonese: plevia, plebia  Old French: pluie  French: pluie  Haitian Creole: lapli  Gallo: pieil  Norman: plyie  Walloon: plouve",,"Old Leonese:  Asturian: lluvia, chuvia  Extremaduran: lluvia  Leonese: lluvia, chuvia  Mirandese: chuba  Old Portuguese: chovia, chuvia  Galician: choiva, chuvia  Portuguese: chuva, chuiva  Kabuverdianu: txuba  Old Provençal:  Catalan: pluja  Occitan: pluèja, ploja, pluèia, pluòja  Old Spanish: lluvia  Ladino: luvya (Latin spelling)  Spanish: lluvia  Piedmontese: pieuva  Proto-Romanian:  Aromanian: ploae, ploai  Romanian: ploaie  Rhaeto-Romance:  Friulian: ploie, ploe  Ladin: pievia  Romansch: plievgia, plievia, plövgia  Sardinian: pròia, proìda, pióida, próghia, proja  Venetian: pióva",
