0,1,2,3,4
PIE root,,,,
*bʰeh₂-,,,,
Number,Singular,,Plural,
Case / Gender,Masc./Fem.,Neuter,Masc./Fem.,Neuter
nominative,īnfāns,,īnfantēs,īnfantia
genitive,īnfantis,īnfantium,,
dative,īnfantī,īnfantibus,,
accusative,īnfantem,īnfāns,īnfantēs,īnfantia
ablative,īnfantī,īnfantibus,,
vocative,īnfāns,īnfantēs,īnfantia,
Case,Singular,Plural,,
nominative,īnfāns,īnfantēs,,
genitive,īnfantis,īnfantium,,
dative,īnfantī,īnfantibus,,
accusative,īnfantem,īnfantēs,,
ablative,īnfante,īnfantibus,,
vocative,īnfāns,īnfantēs,,
English: infant  Esperanto: infano  French: enfant  Italian: infante  Norman: êfant,,"Occitan: enfant, enfan  Old Portuguese: infante  Galician: infante  Portuguese: infante",,"Old Spanish: ifante  Spanish: infante  Romansch: unfant, uffant, affon, iffaunt, unfànt  Russian: инфант ‎(infánt)"
