0,1,2,3,4,5,6
PIE root,,,,,,
*ters-,,,,,,
Audio (Classical),,(file),,,,
Case,Singular,Plural,,,,
nominative,terra,terrae,,,,
genitive,terrae,terrārum,,,,
dative,terrae,terrīs,,,,
accusative,terram,terrās,,,,
ablative,terrā,terrīs,,,,
vocative,terra,terrae,,,,
mediterraneus  *interrāre  subterraneus  terra alba,,Terra Australis  terra firma  terra incognita,,Terra Nova  terra nullius  terra salsuginis,,terrenus  terrestris  territorium
"Aragonese: tierra  Aromanian: tsarã  Asturian: tierra  Catalan: terra  Dalmatian: tara, tiara  Esperanto: tero  Franco-Provençal: tèrra  French: terre",,"Friulian: tiere  Galician: terra  Interlingua: terra  Istriot: tiera  Italian: terra  Judeo-Spanish: tierra  Ladin: tera, tiera, tëra  Ligurian: tæra",,Lombard: tera  Mozarabic: terra  Neapolitan: terra  Normand: tèrre  Novial: tere  Occitan: tèrra  Old Provençal: terra  Piemontese: tèra,,"Portuguese: terra  Romanian: țară  Romansch: terra, tiara, teara, tera  Sardinian: terra  Sicilian: terra  Spanish: tierra  Venetian: tera  Walloon: tere"
