0,1,2,3,4,5,6,7
Conjugation of freno (first conjugation),,,,,,,
indicative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,frēnō,frēnās,frēnat,frēnāmus,frēnātis,frēnant
imperfect,frēnābam,frēnābās,frēnābat,frēnābāmus,frēnābātis,frēnābant,
future,frēnābō,frēnābis,frēnābit,frēnābimus,frēnābitis,frēnābunt,
perfect,frēnāvī,frēnāvistī,frēnāvit,frēnāvimus,frēnāvistis,"frēnāvērunt, frēnāvēre",
pluperfect,frēnāveram,frēnāverās,frēnāverat,frēnāverāmus,frēnāverātis,frēnāverant,
future perfect,frēnāverō,frēnāveris,frēnāverit,frēnāverimus,frēnāveritis,frēnāverint,
passive,present,frēnor,"frēnāris, frēnāre",frēnātur,frēnāmur,frēnāminī,frēnantur
imperfect,frēnābar,"frēnābāris, frēnābāre",frēnābātur,frēnābāmur,frēnābāminī,frēnābantur,
future,frēnābor,"frēnāberis, frēnābere",frēnābitur,frēnābimur,frēnābiminī,frēnābuntur,
perfect,frēnātus + present active indicative of sum,,,,,,
pluperfect,frēnātus + imperfect active indicative of sum,,,,,,
future perfect,frēnātus + future active indicative of sum,,,,,,
subjunctive,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,frēnem,frēnēs,frēnet,frēnēmus,frēnētis,frēnent
imperfect,frēnārem,frēnārēs,frēnāret,frēnārēmus,frēnārētis,frēnārent,
perfect,frēnāverim,frēnāverīs,frēnāverit,frēnāverīmus,frēnāverītis,frēnāverint,
pluperfect,frēnāvissem,frēnāvissēs,frēnāvisset,frēnāvissēmus,frēnāvissētis,frēnāvissent,
passive,present,frēner,"frēnēris, frēnēre",frēnētur,frēnēmur,frēnēminī,frēnentur
imperfect,frēnārer,"frēnārēris, frēnārēre",frēnārētur,frēnārēmur,frēnārēminī,frēnārentur,
perfect,frēnātus + present active subjunctive of sum,,,,,,
pluperfect,frēnātus + imperfect active subjunctive of sum,,,,,,
imperative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,—,frēnā,—,—,frēnāte,—
future,—,frēnātō,frēnātō,—,frēnātōte,frēnantō,
passive,present,—,frēnāre,—,—,frēnāminī,—
future,—,frēnātor,frēnātor,—,—,frēnantor,
non-finite forms,active,passive,,,,,
present,perfect,future,present,perfect,future,,
infinitives,frēnāre,frēnāvisse,frēnātūrus esse,frēnārī,frēnātus esse,frēnātum īrī,
participles,frēnāns,—,frēnātūrus,—,frēnātus,frēnandus,
verbal nouns,gerund,supine,,,,,
nominative,genitive,dative/ablative,accusative,accusative,ablative,,
frēnāre,frēnandī,frēnandō,frēnandum,frēnātum,frēnātū,,
