0,1,2,3,4,5,6,7
"Conjugation of coepi (third conjugation, active only, perfect forms as present, pluperfect as imperfect, future perfect as future)",,,,,,,
indicative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,coepī,coepistī,coepit,coepimus,coepistis,"coepērunt, coepēre"
imperfect,coeperam,coeperās,coeperat,coeperāmus,coeperātis,coeperant,
future,coeperō,coeperis,coeperit,coeperimus,coeperitis,coeperint,
subjunctive,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,coeperim,coeperīs,coeperit,coeperīmus,coeperītis,coeperint
imperfect,coepissem,coepissēs,coepisset,coepissēmus,coepissētis,coepissent,
non-finite forms,active,passive,,,,,
present,perfect,future,present,perfect,future,,
infinitives,coepisse,—,coeptūrus esse,—,—,—,
participles,—,coeptus,coeptūrus,—,—,—,
verbal nouns,gerund,supine,,,,,
nominative,genitive,dative/ablative,accusative,accusative,ablative,,
—,—,—,—,coeptum,coeptū,,
