0,1,2,3,4
Audio (Classical),,(file),,
Case,Singular,Plural,,
nominative,serpēns,serpentēs,,
genitive,serpentis,serpentiumserpentum,,
dative,serpentī,serpentibus,,
accusative,serpentem,serpentēs,,
ablative,serpente,serpentibus,,
vocative,serpēns,serpentēs,,
serpentāria  serpentigena  serpentīnus,,serpentipēs  serpō  serpula,,
"Aromanian: sharpi  Catalan: serp, serpent  English: serpent  Esperanto: serpento  French: serpent  Friulian: sarpint  Galician: serpe  Interlingua: serpente  Italian: serpe, serpente",,"Maltese: serp  Occitan: sèrp  Portuguese: serpente  Romanian: șarpe, șerpânță  Romansch: serp, siarp, serpent, serpaint  Sicilian: serpi, serpenti, sirpenti  Spanish: sierpe, serpiente  Walloon: sierpint  Welsh: sarff",,
Number,Singular,,Plural,
Case / Gender,Masc./Fem.,Neuter,Masc./Fem.,Neuter
nominative,serpēns,,serpentēs,serpentia
genitive,serpentis,serpentium,,
dative,serpentī,serpentibus,,
accusative,serpentem,serpēns,serpentēs,serpentia
ablative,"serpente, serpentī1",serpentibus,,
vocative,serpēns,serpentēs,serpentia,
