0,1,2,3,4,5
Case,Singular,Plural,,,
nominative,episcopus,episcopī,,,
genitive,episcopī,episcopōrum,,,
dative,episcopō,episcopīs,,,
accusative,episcopum,episcopōs,,,
ablative,episcopō,episcopīs,,,
vocative,episcope,episcopī,,,
"Albanian: ipeshkv, peshkop, upeshk  Asturian: obispu  Catalan: bisbe  Dalmatian: pascu  Dutch: bisschop  English: bishop (through Old English, Germanic)  Franco-Provençal: èvèque  French: évêque  Friulian: vescul  Galician: bispo  German: Bischof  Irish: easpag",,"Italian: vescovo, episcopo  Occitan: avesque  Old Portuguese: bispo  Portuguese: bispo, epíscopo (borrowing)  Romansch: uvestg  Sardinian: obíscu  Scottish Gaelic: easbaig  Sicilian: vìscuvu  Spanish: obispo  Venetian: vescovo, vesco  Welsh: esgob",,,
"Chess pieces in Latin · latrunculi, milites scaccorum (layout · text)",,,,,
,,,,,
rex,regina,turris,episcopus,eques,pedes
