0,1,2,3,4,5,6,7
Number,Singular,,Plural,,,,
Case / Gender,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,
nominative,grammaticus,grammatica,grammaticum,,grammaticī,grammaticae,grammatica
genitive,grammaticī,grammaticae,grammaticī,grammaticōrum,grammaticārum,grammaticōrum,
dative,grammaticō,grammaticō,grammaticīs,,,,
accusative,grammaticum,grammaticam,grammaticum,grammaticōs,grammaticās,grammatica,
ablative,grammaticō,grammaticā,grammaticō,grammaticīs,,,
vocative,grammatice,grammatica,grammaticum,grammaticī,grammaticae,grammatica,
grammatica  grammaticālis,,grammaticāliter  grammaticē,,,,,
Case,Singular,Plural,,,,,
nominative,grammaticus,grammaticī,,,,,
genitive,grammaticī,grammaticōrum,,,,,
dative,grammaticō,grammaticīs,,,,,
accusative,grammaticum,grammaticōs,,,,,
ablative,grammaticō,grammaticīs,,,,,
vocative,grammatice,grammaticī,,,,,
