0,1,2,3
Case,Singular,Plural,
nominative,piscātor,piscātōrēs,
genitive,piscātōris,piscātōrum,
dative,piscātōrī,piscātōribus,
accusative,piscātōrem,piscātōrēs,
ablative,piscātōre,piscātōribus,
vocative,piscātor,piscātōrēs,
"edit  Corsican: piscatore, pescatore, pescadore  Dalmatian: peskatáur  Emilian: pscadåur  Franco-Provençal: pêchior  Friulian: pescjadôr, pesčhadôr  Istriot: pascadùr  Ladin: pesciador  Lombard: pes'cadur  Neapolitan: piscatore  Old French: pescheur, pescheor, peskeur  Middle French: pescheur  French: pêcheur  Antillean Creole: péchè  Guianese Creole: péchèr  Karipúna Creole French: péxó  Louisiana Creole French: pechèr  Mauritian Creole: peser  Norman: pêqueux, pêtcheux  Old Italian:  Italian: pescatore  Old Leonese: pescador  Asturian: pescador, pescaor  Leonese: pescador  Mirandese: pescador  Old Portuguese: pescador  Galician: pescador  Portuguese: pescador  Angolar: pisikarô  Kabuverdianu: piscador  Papiamentu: piskadó  Principense: pixkadô  Tetum: peskadór  Old Provençal:  Occitan: pescador  Old Catalan: pescador  Catalan: pescador  Old Spanish:  Ladino: peskador  Spanish: pescador  Chavacano: peskador  Piedmontese: pëscadur  Romansch: pestgader, pestgadur  Sabir: pescador  Sardinian: piscadore, piscadori  Sicilian: piscaturi  Venetian: pescador, pescadore","Corsican: piscatore, pescatore, pescadore  Dalmatian: peskatáur  Emilian: pscadåur  Franco-Provençal: pêchior  Friulian: pescjadôr, pesčhadôr  Istriot: pascadùr  Ladin: pesciador  Lombard: pes'cadur  Neapolitan: piscatore  Old French: pescheur, pescheor, peskeur  Middle French: pescheur  French: pêcheur  Antillean Creole: péchè  Guianese Creole: péchèr  Karipúna Creole French: péxó  Louisiana Creole French: pechèr  Mauritian Creole: peser  Norman: pêqueux, pêtcheux  Old Italian:  Italian: pescatore  Old Leonese: pescador  Asturian: pescador, pescaor  Leonese: pescador  Mirandese: pescador",,"Old Portuguese: pescador  Galician: pescador  Portuguese: pescador  Angolar: pisikarô  Kabuverdianu: piscador  Papiamentu: piskadó  Principense: pixkadô  Tetum: peskadór  Old Provençal:  Occitan: pescador  Old Catalan: pescador  Catalan: pescador  Old Spanish:  Ladino: peskador  Spanish: pescador  Chavacano: peskador  Piedmontese: pëscadur  Romansch: pestgader, pestgadur  Sabir: pescador  Sardinian: piscadore, piscadori  Sicilian: piscaturi  Venetian: pescador, pescadore"
"Corsican: piscatore, pescatore, pescadore  Dalmatian: peskatáur  Emilian: pscadåur  Franco-Provençal: pêchior  Friulian: pescjadôr, pesčhadôr  Istriot: pascadùr  Ladin: pesciador  Lombard: pes'cadur  Neapolitan: piscatore  Old French: pescheur, pescheor, peskeur  Middle French: pescheur  French: pêcheur  Antillean Creole: péchè  Guianese Creole: péchèr  Karipúna Creole French: péxó  Louisiana Creole French: pechèr  Mauritian Creole: peser  Norman: pêqueux, pêtcheux  Old Italian:  Italian: pescatore  Old Leonese: pescador  Asturian: pescador, pescaor  Leonese: pescador  Mirandese: pescador",,"Old Portuguese: pescador  Galician: pescador  Portuguese: pescador  Angolar: pisikarô  Kabuverdianu: piscador  Papiamentu: piskadó  Principense: pixkadô  Tetum: peskadór  Old Provençal:  Occitan: pescador  Old Catalan: pescador  Catalan: pescador  Old Spanish:  Ladino: peskador  Spanish: pescador  Chavacano: peskador  Piedmontese: pëscadur  Romansch: pestgader, pestgadur  Sabir: pescador  Sardinian: piscadore, piscadori  Sicilian: piscaturi  Venetian: pescador, pescadore",
"Corsican: piscatore, pescatore, pescadore  Dalmatian: peskatáur  Emilian: pscadåur  Franco-Provençal: pêchior  Friulian: pescjadôr, pesčhadôr  Istriot: pascadùr  Ladin: pesciador  Lombard: pes'cadur  Neapolitan: piscatore  Old French: pescheur, pescheor, peskeur  Middle French: pescheur  French: pêcheur  Antillean Creole: péchè  Guianese Creole: péchèr  Karipúna Creole French: péxó  Louisiana Creole French: pechèr  Mauritian Creole: peser  Norman: pêqueux, pêtcheux  Old Italian:  Italian: pescatore  Old Leonese: pescador  Asturian: pescador, pescaor  Leonese: pescador  Mirandese: pescador",,"Old Portuguese: pescador  Galician: pescador  Portuguese: pescador  Angolar: pisikarô  Kabuverdianu: piscador  Papiamentu: piskadó  Principense: pixkadô  Tetum: peskadór  Old Provençal:  Occitan: pescador  Old Catalan: pescador  Catalan: pescador  Old Spanish:  Ladino: peskador  Spanish: pescador  Chavacano: peskador  Piedmontese: pëscadur  Romansch: pestgader, pestgadur  Sabir: pescador  Sardinian: piscadore, piscadori  Sicilian: piscaturi  Venetian: pescador, pescadore",
