0,1,2,3,4,5,6,7
"Conjugation of prosum (highly irregular, suppletive, active only)",,,,,,,
indicative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,prōsum,prōdes,prōdest,prōsumus,prōdestis,prōsunt
imperfect,prōderam,prōderās,prōderat,prōderāmus,prōderātis,prōderant,
future,prōderō,"prōderis, prōdere",prōderit,prōderimus,prōderitis,prōderunt,
perfect,prōfuī,prōfuistī,prōfuit,prōfuimus,prōfuistis,"prōfuērunt, prōfuēre",
pluperfect,prōfueram,prōfuerās,prōfuerat,prōfuerāmus,prōfuerātis,prōfuerant,
future perfect,prōfuerō,prōfueris,prōfuerit,prōfuerimus,prōfueritis,prōfuerint,
subjunctive,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,prōsim,prōsīs,prōsit,prōsīmus,prōsītis,prōsint
imperfect,"prōdessem, prōforem","prōdessēs, prōforēs","prōdesset, prōforet","prōdessēmus, prōforēmus","prōdessētis, prōforētis","prōdessent, prōforent",
perfect,prōfuerim,prōfuerīs,prōfuerit,prōfuerīmus,prōfuerītis,prōfuerint,
pluperfect,prōfuissem,prōfuissēs,prōfuisset,prōfuissēmus,prōfuissētis,prōfuissent,
imperative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,—,prōdes,—,—,prōdeste,—
future,—,prōdestō,prōdestō,—,prōdestōte,prōsuntō,
non-finite forms,active,passive,,,,,
present,perfect,future,present,perfect,future,,
infinitives,prōdesse,prōfuisse,"prōfutūrus esse, prōfore",—,—,—,
participles,—,—,prōfutūrus,—,—,—,
absum  adsum  dēsum  īnsum  intersum  obsum,,possum  praesum  subsum  sum  supersum,,,,,
