0,1,2,3,4
,masculine (vīriešu dzimte),,feminine (sieviešu dzimte),
singular (vienskaitlis),plural (daudzskaitlis),singular (vienskaitlis),plural (daudzskaitlis),
nominative (nominatīvs),zils,zili,zila,zilas
accusative (akuzatīvs),zilu,zilus,zilu,zilas
genitive (ģenitīvs),zila,zilu,zilas,zilu
dative (datīvs),zilam,ziliem,zilai,zilām
instrumental (instrumentālis),zilu,ziliem,zilu,zilām
locative (lokatīvs),zilā,zilos,zilā,zilās
vocative (vokatīvs),—,—,—,—
,,,,
Colors in Latvian · krāsas (layout · text),,,,
"sarkans, sārts",zaļš,dzeltens,?,balts
{{{crimson}}},?,?,?,rozā
?,zils,oranžs,pelēks,?
melns,violets,brūns,?,?
