0,1,2,3,4,5,6
number & gender,masculine,feminine,neuter,,,
singular,plural,singular,plural,singular,plural,
nominative,moferse,mofers,mofers,mofers,mofers,mofers
genitive,moferses,moferser,moferser,moferser,moferses,moferser
locative,moferses,moferses,moferses,moferses,moferses,moferses
vocative1,mofers,,,,,
dative2,moferse,mofersen,moferser,mofersen,mofers,mofersen
accusative2,moferse,mofersen,mofers,mofers,mofers,mofersen
1Limited to a few fossilized forms.,,,,,,
"2Nowadays obsolete, use the nominative instead.",,,,,,
